,No Hypothesis
0,21.502238954349277
1,21.502238954349277
2,20.63943773925291
3,20.115537131485603
4,20.115537131485603
5,20.115537131485603
6,20.115537131485603
7,20.115537131485603
8,20.115537131485603
9,20.115537131485603
10,19.24533375865565
11,19.24533375865565
12,18.57946824013497
13,18.57946824013497
14,18.57946824013497
15,17.40954943966363
16,17.40954943966363
17,17.40954943966363
18,17.40954943966363
19,17.40954943966363
20,17.40954943966363
21,17.40954943966363
22,17.40954943966363
23,17.40954943966363
24,17.40954943966363
25,17.40954943966363
26,17.40954943966363
27,17.40954943966363
28,17.40954943966363
29,17.40954943966363
30,17.40954943966363
31,17.40954943966363
32,17.40954943966363
33,17.40954943966363
34,17.40954943966363
35,17.40954943966363
36,17.40954943966363
37,17.40954943966363
38,17.40954943966363
39,16.76348467467498
40,16.76348467467498
41,16.76348467467498
42,15.408837424334468
43,15.408837424334468
44,14.479856706297818
45,14.479856706297818
46,14.479856706297818
47,14.248602538200904
48,14.248602538200904
49,14.248602538200904
50,13.906291994382087
51,13.879101925844855
52,13.879101925844855
53,13.879101925844855
54,13.879101925844855
55,13.879101925844855
56,13.879101925844855
57,13.879101925844855
58,13.879101925844855
59,13.879101925844855
60,13.879101925844855
61,13.879101925844855
62,13.879101925844855
63,13.879101925844855
64,13.879101925844855
65,13.879101925844855
66,13.879101925844855
67,13.879101925844855
68,13.879101925844855
69,13.711257496258234
70,13.711257496258234
71,13.124052856667678
72,13.124052856667678
73,12.38910015556658
74,12.185518694581884
75,12.090990019153963
76,12.090990019153963
77,12.090990019153963
78,12.090990019153963
79,12.090990019153963
80,11.865224099686172
81,11.257408346995788
82,11.050721182396387
83,11.050721182396387
84,11.050721182396387
85,11.050721182396387
86,11.050721182396387
87,11.050721182396387
88,11.050721182396387
89,11.050721182396387
90,11.050721182396387
91,11.050721182396387
92,11.050721182396387
93,11.050721182396387
94,11.050721182396387
95,11.050721182396387
96,11.050721182396387
97,10.911356014655889
98,10.911356014655889
99,10.844117701127017
100,10.279000623009988
101,10.279000623009988
102,10.279000623009988
103,10.279000623009988
104,10.279000623009988
