,No Hypothesis
0,123.18605201109519
1,19.58737638114178
2,19.58737638114178
3,19.58737638114178
4,19.58737638114178
5,5.5217913824454685
6,5.5217913824454685
7,5.5217913824454685
8,5.5217913824454685
9,5.5217913824454685
10,5.5217913824454685
11,5.5217913824454685
12,5.5217913824454685
13,1.5293576103125037
14,1.5293576103125037
15,1.5293576103125037
16,1.5293576103125037
17,1.5293576103125037
18,1.5293576103125037
19,1.5293576103125037
20,1.5293576103125037
21,1.5293576103125037
22,1.5293576103125037
23,1.5293576103125037
24,1.5293576103125037
25,1.5293576103125037
26,1.5293576103125037
27,1.5293576103125037
28,1.5293576103125037
29,1.5293576103125037
30,1.5293576103125037
31,1.5293576103125037
32,1.5293576103125037
33,1.5293576103125037
34,1.5293576103125037
35,1.5293576103125037
36,1.5293576103125037
37,1.5293576103125037
38,1.5293576103125037
39,1.5293576103125037
40,1.5293576103125037
41,1.5293576103125037
42,1.5293576103125037
43,1.5293576103125037
44,1.5293576103125037
45,1.5293576103125037
46,1.5293576103125037
47,1.5293576103125037
48,1.5293576103125037
49,1.5293576103125037
50,1.5293576103125037
51,1.5293576103125037
52,1.5293576103125037
53,1.5293576103125037
54,1.5293576103125037
55,1.5293576103125037
56,1.5293576103125037
57,1.5293576103125037
58,1.5293576103125037
59,1.5293576103125037
60,1.5293576103125037
61,1.5293576103125037
62,1.5293576103125037
63,1.5293576103125037
64,1.5293576103125037
65,1.5293576103125037
66,1.5293576103125037
67,1.5293576103125037
68,1.5293576103125037
69,1.5293576103125037
70,1.5293576103125037
71,1.5293576103125037
72,1.5293576103125037
73,1.5293576103125037
74,1.5293576103125037
75,1.5293576103125037
76,1.5293576103125037
77,1.5293576103125037
78,1.5293576103125037
79,1.5293576103125037
80,1.5293576103125037
81,1.5293576103125037
82,1.5293576103125037
83,1.5293576103125037
84,1.0410137590148567
85,1.0410137590148567
86,1.0410137590148567
87,1.0410137590148567
88,1.0410137590148567
89,1.0410137590148567
90,1.0410137590148567
91,1.0410137590148567
92,1.0410137590148567
93,1.0410137590148567
94,1.0410137590148567
95,1.0410137590148567
96,1.0410137590148567
97,1.0410137590148567
98,1.0410137590148567
99,1.0410137590148567
100,1.0410137590148567
101,1.0410137590148567
102,1.0410137590148567
103,1.0410137590148567
104,1.0410137590148567
