,No Hypothesis
0,256.50417607572564
1,203.27008569002228
2,188.01292270223405
3,178.42472874786287
4,171.80492680692106
5,165.7007401256025
6,164.55072819901193
7,162.5772657091549
8,159.35305810868175
9,156.45560482805348
10,155.8358479333117
11,152.11379158633477
12,152.03068953492263
13,148.2586396461248
14,147.20801749443402
15,144.88322538565996
16,142.27590480794248
17,141.53476947396229
18,140.94848606102826
19,139.2562534206648
20,137.81938171118463
21,136.52495359739555
22,136.0099246688483
23,135.75618904708713
24,134.3688363558365
25,133.80130128047523
26,132.19831873580176
27,131.74120285418587
28,129.75891402306453
29,129.26379592286864
30,128.14074188846635
31,128.14074188846635
32,126.60020823262649
33,125.68756338143149
34,124.34809397894136
35,122.41711564270501
36,121.45488699299493
37,120.53147491882481
38,119.3663317626508
39,118.93339708718848
40,118.57688859714185
41,118.32148883830543
42,118.30955991317738
43,117.44471652349064
44,116.51947480118484
45,115.72732741094329
46,115.72732741094329
47,115.72732741094329
48,115.72732741094329
49,115.53972295423375
50,115.53972295423375
51,114.84697357546015
52,114.8205462825401
53,114.54680259689935
54,114.27507773200983
55,114.27507773200983
56,114.27507773200983
57,114.27507773200983
58,113.51874814130207
59,113.51874814130207
60,113.51874814130207
61,113.2445881734723
62,113.2445881734723
63,112.9159204082611
64,112.9159204082611
65,112.79234745090208
66,112.79234745090208
67,112.24921279658992
68,112.24921279658992
69,112.09313931293445
70,112.09313931293445
71,111.8606028165917
72,111.8606028165917
73,110.81311032914275
74,110.36776400999875
75,110.16710207800271
76,110.14403977105218
77,110.14403977105218
78,110.14403977105218
79,110.14403977105218
80,110.14403977105218
81,110.14403977105218
82,110.14403977105218
83,110.14403977105218
84,109.65181895263778
85,109.65181895263778
86,109.65181895263778
87,109.65181895263778
88,109.65181895263778
89,109.31384352841728
90,109.31384352841728
91,108.55055094533138
92,108.5285798090737
93,108.5285798090737
94,108.5285798090737
95,108.06959122623995
96,106.4145804909403
97,106.4145804909403
98,106.4145804909403
99,106.4145804909403
100,106.4145804909403
101,106.4145804909403
102,106.1476815758124
103,106.1476815758124
104,106.1476815758124
