,No Hypothesis
0,183.7538578976345
1,183.7538578976345
2,183.7538578976345
3,183.7538578976345
4,183.7538578976345
5,183.7538578976345
6,183.7538578976345
7,183.7538578976345
8,152.76570352044158
9,152.76570352044158
10,152.76570352044158
11,152.76570352044158
12,148.61060094983517
13,148.61060094983517
14,148.61060094983517
15,127.19077510051862
16,127.19077510051862
17,127.19077510051862
18,127.19077510051862
19,127.19077510051862
20,127.19077510051862
21,127.19077510051862
22,113.04379255327557
23,113.04379255327557
24,113.04379255327557
25,113.04379255327557
26,113.04379255327557
27,113.04379255327557
28,113.04379255327557
29,113.04379255327557
30,113.04379255327557
31,113.04379255327557
32,113.04379255327557
33,113.04379255327557
34,113.04379255327557
35,113.04379255327557
36,113.04379255327557
37,113.04379255327557
38,113.04379255327557
39,113.04379255327557
40,113.04379255327557
41,113.04379255327557
42,113.04379255327557
43,113.04379255327557
44,113.04379255327557
45,113.04379255327557
46,113.04379255327557
47,113.04379255327557
48,113.04379255327557
49,113.04379255327557
50,113.04379255327557
51,113.04379255327557
52,113.04379255327557
53,113.04379255327557
54,113.04379255327557
55,113.04379255327557
56,113.04379255327557
57,113.04379255327557
58,113.04379255327557
59,113.04379255327557
60,113.04379255327557
61,113.04379255327557
62,113.04379255327557
63,113.04379255327557
64,113.04379255327557
65,113.04379255327557
66,113.04379255327557
67,113.04379255327557
68,113.04379255327557
69,113.04379255327557
70,113.04379255327557
71,113.04379255327557
72,113.04379255327557
73,113.04379255327557
74,113.04379255327557
75,113.04379255327557
76,113.04379255327557
77,113.04379255327557
78,113.04379255327557
79,113.04379255327557
80,113.04379255327557
81,113.04379255327557
82,113.04379255327557
83,113.04379255327557
84,113.04379255327557
85,113.04379255327557
86,113.04379255327557
87,113.04379255327557
88,113.04379255327557
89,113.04379255327557
90,113.04379255327557
91,113.04379255327557
92,113.04379255327557
93,113.04379255327557
94,113.04379255327557
95,113.04379255327557
96,113.04379255327557
97,113.04379255327557
98,113.04379255327557
99,113.04379255327557
100,113.04379255327557
101,113.04379255327557
102,113.04379255327557
103,113.04379255327557
104,113.04379255327557
