,No Hypothesis
0,34.69520376778326
1,8.859662880647184
2,8.859662880647184
3,8.859662880647184
4,8.859662880647184
5,8.859662880647184
6,8.859662880647184
7,8.859662880647184
8,8.859662880647184
9,8.859662880647184
10,4.972515556199478
11,4.972515556199478
12,4.972515556199478
13,4.972515556199478
14,4.972515556199478
15,4.972515556199478
16,4.972515556199478
17,4.972515556199478
18,4.972515556199478
19,4.972515556199478
20,4.972515556199478
21,4.972515556199478
22,4.972515556199478
23,3.5080147458649193
24,3.5080147458649193
25,3.5080147458649193
26,3.5080147458649193
27,3.5080147458649193
28,3.5080147458649193
29,3.5080147458649193
30,3.5080147458649193
31,3.5080147458649193
32,3.368257824368438
33,3.368257824368438
34,3.31584539873281
35,3.31584539873281
36,3.31584539873281
37,3.31584539873281
38,3.31584539873281
39,3.31584539873281
40,3.31584539873281
41,3.31584539873281
42,3.31584539873281
43,3.31584539873281
44,3.31584539873281
45,3.31584539873281
46,3.31584539873281
47,3.31584539873281
48,3.31584539873281
49,3.31584539873281
50,3.31584539873281
51,3.31584539873281
52,3.31584539873281
53,3.31584539873281
54,3.31584539873281
55,3.31584539873281
56,3.31584539873281
57,3.31584539873281
58,3.31584539873281
59,3.31584539873281
60,3.31584539873281
61,3.31584539873281
62,3.31584539873281
63,3.31584539873281
64,3.31584539873281
65,3.31584539873281
66,3.31584539873281
67,3.31584539873281
68,3.31584539873281
69,3.31584539873281
70,3.31584539873281
71,3.31584539873281
72,3.31584539873281
73,3.31584539873281
74,3.31584539873281
75,3.31584539873281
76,3.31584539873281
77,3.31584539873281
78,3.31584539873281
79,3.31584539873281
80,3.31584539873281
81,3.31584539873281
82,3.31584539873281
83,3.31584539873281
84,3.31584539873281
85,3.31584539873281
86,3.31584539873281
87,3.31584539873281
88,3.31584539873281
89,3.31584539873281
90,3.31584539873281
91,3.31584539873281
92,3.31584539873281
93,3.31584539873281
94,3.31584539873281
95,3.31584539873281
96,3.31584539873281
97,3.31584539873281
98,3.31584539873281
99,3.31584539873281
100,3.31584539873281
101,3.31584539873281
102,3.31584539873281
103,3.31584539873281
104,3.31584539873281
