,No Hypothesis
0,212.42598166992244
1,212.42598166992244
2,191.6759663224749
3,191.6759663224749
4,130.82654103894714
5,130.82654103894714
6,130.82654103894714
7,130.82654103894714
8,130.82654103894714
9,130.82654103894714
10,130.82654103894714
11,130.82654103894714
12,130.82654103894714
13,130.82654103894714
14,130.82654103894714
15,130.82654103894714
16,130.82654103894714
17,130.82654103894714
18,130.82654103894714
19,130.82654103894714
20,130.82654103894714
21,130.82654103894714
22,130.82654103894714
23,130.82654103894714
24,130.82654103894714
25,130.82654103894714
26,130.82654103894714
27,130.82654103894714
28,130.82654103894714
29,130.82654103894714
30,126.2553683974349
31,121.38069592484776
32,121.38069592484776
33,121.38069592484776
34,121.38069592484776
35,121.38069592484776
36,121.38069592484776
37,121.38069592484776
38,121.38069592484776
39,121.38069592484776
40,121.38069592484776
41,121.38069592484776
42,121.38069592484776
43,121.38069592484776
44,121.38069592484776
45,121.38069592484776
46,121.38069592484776
47,121.38069592484776
48,121.38069592484776
49,121.38069592484776
50,121.38069592484776
51,121.38069592484776
52,121.38069592484776
53,121.38069592484776
54,121.38069592484776
55,121.38069592484776
56,121.38069592484776
57,121.38069592484776
58,117.47322724089614
59,117.47322724089614
60,117.47322724089614
61,117.47322724089614
62,117.47322724089614
63,117.47322724089614
64,117.47322724089614
65,117.47322724089614
66,117.47322724089614
67,117.47322724089614
68,117.47322724089614
69,117.47322724089614
70,117.47322724089614
71,117.47322724089614
72,110.3061591297691
73,110.3061591297691
74,106.6639860470902
75,106.6639860470902
76,106.6639860470902
77,106.6639860470902
78,106.6639860470902
79,106.6639860470902
80,106.6639860470902
81,106.6639860470902
82,106.6639860470902
83,102.88297719812664
84,102.88297719812664
85,102.88297719812664
86,102.88297719812664
87,101.17552555069555
88,101.17552555069555
89,101.17552555069555
90,101.17552555069555
91,101.17552555069555
92,87.90095363893376
93,87.90095363893376
94,87.90095363893376
95,87.90095363893376
96,84.83767498571149
97,84.83767498571149
98,84.83767498571149
99,84.83767498571149
