,No Hypothesis
0,27.887520388440322
1,27.38021816542873
2,27.33791263072772
3,27.225875100588112
4,27.102124815090946
5,26.32438716923683
6,25.67130235963438
7,25.059080145527414
8,24.64206445468524
9,24.043015164010235
10,23.50850471884624
11,23.006184683753286
12,22.34735973529067
13,21.86287505861474
14,21.44137671170256
15,21.10773084296914
16,20.746539547448318
17,20.480482596701595
18,20.16150383742187
19,19.752799893767556
20,19.336563952547987
21,18.504651581605344
22,18.019003537958707
23,17.76914046399155
24,17.407481032364476
25,17.226111305835353
26,16.992762843641845
27,16.54190569655552
28,16.174999480981924
29,16.062808129972066
30,15.441603239089101
31,15.212048383718454
32,15.1242163083533
33,15.001440335350088
34,14.838613742054388
35,14.576858400759479
36,14.28588072425082
37,14.035466414269967
38,13.747848804901478
39,13.336529825046615
40,13.050085689804218
41,12.974814458536594
42,12.81678473043942
43,12.737681965335357
44,12.628050493042087
45,12.441550615575084
46,12.360501748293766
47,12.114153725616543
48,11.786028001874431
49,11.704854110588515
50,11.561335531808263
51,11.476058763537925
52,11.397934519564549
53,11.380331585696014
54,11.181815613981065
55,10.84865139389302
56,10.788012230658607
57,10.712901412271709
58,10.682900575552134
59,10.472004339989198
60,10.28380786238393
61,10.273154186667904
62,10.269144441873053
63,9.981541158338013
64,9.917164058700237
65,9.762545334571064
66,9.327468683385666
67,9.12441191956491
68,9.042179184903716
69,8.850968043723276
70,8.808485963211343
71,8.808485963211343
72,8.77761779850341
73,8.604800812217603
74,8.190496818147182
75,7.984496347842865
76,7.9499647489668295
77,7.903118629561682
78,7.871663308732784
79,7.721148115861371
80,7.715135127881281
81,7.582004013111435
82,7.339348889148222
83,7.286990586718366
84,7.260981253128798
85,7.224779421562434
86,7.224779421562434
87,7.164398759329881
88,7.164398759329881
89,7.12624963067254
90,7.113351927449637
91,7.102990465633357
92,7.061351923994332
93,7.060955406146068
94,7.060955406146068
95,7.048853991097617
96,6.979629129087723
97,6.919980864675301
98,6.812160393215084
99,6.810127493778444
100,6.769480502905111
101,6.670821787786739
102,6.645338337266236
103,6.625393271492149
104,6.577033874649592
105,6.5078200930124055
106,6.4764699245500745
107,6.446706483827899
108,6.439976636024656
109,6.399737219886711
110,6.399737219886711
111,6.295850442228225
112,6.274667030934418
113,6.262607454257675
114,6.209644524292344
115,6.193092784362046
116,6.193092784362046
117,6.126594331236313
118,6.123096166846383
119,6.123096166846383
120,6.123096166846383
121,6.120193494858643
122,6.110130040730277
123,6.081300790333924
124,6.013298505503027
125,6.003412884862079
126,6.000861072000102
127,6.000861072000102
128,5.975491929358756
129,5.887695809677716
130,5.802970530683995
131,5.692625248670072
132,5.675784785182388
133,5.669878265642499
134,5.669878265642499
135,5.643053065526149
136,5.595301656015113
137,5.5905839364768415
138,5.58733398715912
139,5.577424091264813
140,5.576202078223292
141,5.5701023671156795
142,5.550116081383486
143,5.550116081383486
144,5.445277939795368
145,5.391615442896657
146,5.388622219122132
147,5.388622219122132
148,5.388622219122132
149,5.388622219122132
150,5.388622219122132
151,5.387375981841881
152,5.341019794097856
153,5.341019794097856
154,5.341019794097856
155,5.280718357236896
156,5.280718357236896
157,5.280718357236896
158,5.280718357236896
159,5.280718357236896
160,5.219316674011309
161,5.172153520154281
162,5.172153520154281
163,5.161631218660812
164,5.161631218660812
165,5.137497329782852
166,5.137497329782852
167,5.113301654641951
168,5.112905451214201
169,5.112471920340002
170,5.099680672765395
171,5.084910683939472
172,5.074280413121482
173,5.074280413121482
174,5.045683647837941
175,4.954599076325709
176,4.954599076325709
177,4.944486563598042
178,4.944486563598042
179,4.944486563598042
180,4.944486563598042
181,4.944486563598042
182,4.916577425962713
183,4.916577425962713
184,4.891278735895931
185,4.8466078128593875
186,4.800251625115364
187,4.664826876375659
188,4.655212950537969
189,4.655212950537969
