,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.0,0.25,0.0,0.75,0.0,1.2,0.25,0.0,0.25,0.25,1.3643900326686325,Dye-sceptic
1,0.25,0.0,2.0,0.0,0.0,3.0,0.75,0.75,0.0,0.25,1.5700856599162044e-05,Dye-advocate
2,3.25,0.0,0.0,0.25,0.0,1.2,0.0,0.25,0.0,0.0,0.005692143137639131,AR87-advocate
3,0.75,0.25,0.5,0.75,0.0,1.2,0.0,0.5,0.0,0.25,0.013926479064068369,Surfactant-sceptic
4,0.0,4.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,6.120082399206748,Scavenger-Obsessive
5,0.25,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.0,0.7301793746069933,pH-Obsessive
6,0.25,0.0,0.0,0.25,0.0,1.2,0.0,0.0,0.0,3.5,1.0194890260512648,H-bonding Obsessive
7,0.0,0.25,0.0,1.0,1.75,4.800000000000001,0.0,0.25,0.0,0.75,0.5282128425630551,Halophile
8,0.75,0.25,0.5,0.0,0.0,1.2,0.25,0.5,0.25,0.25,0.026181590692986485,Halophobe
9,0.75,0.25,0.5,0.75,0.0,1.2,0.25,0.5,0.25,0.25,0.02210172701457842,Global
10,0.0,4.75,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,4.586864273608805,Surfactant-sceptic
11,0.0,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.537900447801288,Halophobe
12,0.0,3.25,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,15.093946642446628,Dye-sceptic
13,0.0,0.5,0.0,0.0,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,6.519653908596862,Dye-sceptic
14,0.25,3.25,0.0,0.0,1.0,2.4000000000000004,0.0,0.0,0.25,0.0,4.97709892566107,Halophobe
15,0.0,3.25,0.0,0.0,1.0,2.4000000000000004,0.25,0.0,0.0,0.0,11.506957732810449,Global
16,0.0,3.25,0.0,0.0,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,15.040163857535731,Global
17,0.0,3.25,0.25,0.0,1.0,2.2,0.0,0.0,0.0,0.0,1.6290408847665416,Global
18,0.0,3.25,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.25,15.074048437758414,Global
19,0.0,3.25,0.0,0.25,1.0,2.2,0.0,0.0,0.0,0.0,16.565526750936883,Global
20,0.0,3.25,0.0,0.0,1.0,2.2,0.0,0.0,0.25,0.0,9.789458252705494,Global
21,0.0,3.25,0.0,0.25,1.0,2.2,0.0,0.0,0.0,0.25,16.338439280927943,Global
22,0.0,0.25,0.0,1.25,1.0,3.8000000000000003,0.0,0.0,0.0,0.5,9.149629551031504,Global
23,0.0,3.0,0.0,0.5,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,14.978077987679537,Global
24,0.0,3.25,0.0,0.0,1.0,2.4000000000000004,0.0,0.0,0.0,0.25,14.75562137958762,Global
25,0.0,3.5,0.0,0.25,1.0,2.2,0.0,0.0,0.0,0.0,16.34339575714841,Dye-sceptic
26,0.0,3.25,0.0,0.25,0.75,2.2,0.0,0.0,0.0,0.0,14.564652398940076,Dye-sceptic
27,0.0,0.0,0.0,0.75,0.25,4.800000000000001,0.75,0.0,0.5,0.0,2.1988939247323542,Global
28,0.0,0.5,0.0,1.25,1.0,2.8,0.25,0.0,0.25,0.5,7.0029450896546095,Global
29,0.0,0.0,0.0,0.75,0.0,3.2,0.25,0.0,0.25,1.25,2.2382452284029126,Global
30,0.0,2.0,0.0,0.5,0.75,4.4,0.0,0.0,0.25,0.0,11.617357915806434,Global
31,0.0,3.25,0.0,0.25,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,16.6517623806977,Global
32,0.0,3.25,0.0,0.25,1.0,2.4000000000000004,0.0,0.0,0.0,0.25,16.180153946177132,Global
33,0.0,3.5,0.0,0.25,1.0,2.4000000000000004,0.0,0.0,0.0,0.0,17.198314551362653,Global
34,0.0,3.5,0.0,0.25,1.0,2.6,0.0,0.0,0.0,0.0,17.83227973809354,Global
