,No Hypothesis
0,21.45417189944917
1,21.042731922519405
2,21.02228635096819
3,21.02228635096819
4,20.93740587286758
5,20.485438947635625
6,20.485438947635625
7,20.15988718890908
8,20.15988718890908
9,20.15988718890908
10,20.15988718890908
11,20.15988718890908
12,20.15988718890908
13,20.15988718890908
14,20.15988718890908
15,20.15988718890908
16,20.15988718890908
17,20.15988718890908
18,20.15988718890908
19,20.15988718890908
20,20.15988718890908
21,20.15988718890908
22,20.15988718890908
23,20.15988718890908
24,20.15988718890908
25,20.15988718890908
26,20.15988718890908
27,20.15988718890908
28,20.15988718890908
29,20.15988718890908
30,20.15988718890908
31,20.15988718890908
32,20.15988718890908
33,20.15988718890908
34,20.15988718890908
35,20.15988718890908
36,19.901136063998724
37,19.901136063998724
38,19.901136063998724
39,19.901136063998724
40,19.901136063998724
41,19.901136063998724
42,19.901136063998724
43,19.901136063998724
44,19.901136063998724
45,19.901136063998724
46,19.901136063998724
47,19.901136063998724
48,19.901136063998724
49,19.604172556443945
50,19.604172556443945
51,19.500797337963288
52,19.500797337963288
53,19.500797337963288
54,19.500797337963288
55,19.500797337963288
56,19.500797337963288
57,19.500797337963288
58,19.500797337963288
59,19.500797337963288
60,19.500797337963288
61,19.500797337963288
62,19.500797337963288
63,19.500797337963288
64,19.500797337963288
65,19.500797337963288
66,19.500797337963288
67,19.500797337963288
68,19.500797337963288
69,19.500797337963288
70,19.500797337963288
71,19.500797337963288
72,19.500797337963288
73,19.500797337963288
74,19.500797337963288
75,19.500797337963288
76,19.500797337963288
77,19.500797337963288
78,19.500797337963288
79,19.500797337963288
80,19.500797337963288
81,19.500797337963288
82,19.500797337963288
83,19.500797337963288
84,19.500797337963288
85,19.500797337963288
86,19.500797337963288
87,19.500797337963288
88,19.500797337963288
89,19.500797337963288
90,19.500797337963288
91,19.500797337963288
92,19.500797337963288
93,19.500797337963288
94,19.500797337963288
95,19.500797337963288
96,19.500797337963288
97,19.500797337963288
98,19.500797337963288
99,19.500797337963288
100,19.500797337963288
101,19.500797337963288
102,19.500797337963288
103,19.500797337963288
104,19.500797337963288
105,19.500797337963288
106,19.500797337963288
107,19.500797337963288
108,19.500797337963288
109,19.500797337963288
110,19.500797337963288
111,19.500797337963288
112,19.500797337963288
113,19.500797337963288
114,19.500797337963288
115,19.500797337963288
116,19.500797337963288
117,19.500797337963288
118,19.500797337963288
119,19.500797337963288
120,19.500797337963288
121,19.500797337963288
122,19.500797337963288
123,19.500797337963288
124,19.500797337963288
125,19.500797337963288
126,19.500797337963288
127,19.500797337963288
128,19.021978107725342
129,19.021978107725342
130,19.021978107725342
131,19.021978107725342
132,19.021978107725342
133,19.021978107725342
134,19.021978107725342
135,19.021978107725342
136,19.021978107725342
137,19.021978107725342
138,19.021978107725342
139,19.021978107725342
140,19.021978107725342
141,19.021978107725342
142,19.021978107725342
143,19.021978107725342
144,19.021978107725342
145,19.021978107725342
146,19.021978107725342
147,19.021978107725342
148,19.021978107725342
149,19.021978107725342
150,19.021978107725342
151,19.021978107725342
152,19.021978107725342
153,19.021978107725342
154,19.021978107725342
155,19.021978107725342
156,19.021978107725342
157,19.021978107725342
158,19.021978107725342
159,19.021978107725342
160,19.021978107725342
161,19.021978107725342
162,19.021978107725342
163,19.021978107725342
164,19.021978107725342
165,19.021978107725342
166,19.021978107725342
167,19.021978107725342
168,19.021978107725342
169,19.021978107725342
170,19.021978107725342
171,19.021978107725342
172,19.021978107725342
173,19.021978107725342
174,19.021978107725342
175,19.021978107725342
176,19.021978107725342
177,19.021978107725342
178,19.021978107725342
179,19.021978107725342
180,19.021978107725342
181,19.021978107725342
182,19.021978107725342
183,19.021978107725342
184,19.021978107725342
185,19.021978107725342
186,19.021978107725342
187,19.021978107725342
188,19.021978107725342
189,19.021978107725342
190,19.021978107725342
191,19.021978107725342
192,19.021978107725342
193,19.021978107725342
194,19.021978107725342
195,19.021978107725342
196,19.021978107725342
197,19.021978107725342
198,19.021978107725342
199,19.021978107725342
200,19.021978107725342
201,19.021978107725342
202,19.021978107725342
203,19.021978107725342
204,19.021978107725342
