,No Hypothesis
0,4287377.222382109
1,3188858.8971378333
2,1726889.1770196755
3,1726889.1770196755
4,1726889.1770196755
5,1726888.577904903
6,1726888.5762010978
7,1726888.5762010978
8,1726888.5762010978
9,542152.0638676612
10,542152.0638676612
11,542152.0638676612
12,542152.0638676612
13,542152.0638676612
14,542152.0638676612
15,542152.0638676612
16,542152.0638676612
17,542152.0638676612
18,540836.6568029423
19,540836.6568029423
20,540836.6568029423
21,497193.2128192376
22,489049.4687330072
23,487890.1198287837
24,487890.1198287837
25,356217.62895447324
26,239905.3092241689
27,195486.79302583972
28,171098.21402725845
29,171098.21402725845
30,161559.36527437114
31,120143.36645972106
32,113775.6141068004
33,98191.81417306258
34,93965.10284889636
35,93552.66584506718
36,92265.84406540608
37,91722.96560813976
38,85075.95546259035
39,83749.50549636214
40,82673.99181387782
41,82673.99181387782
42,74472.90904837669
43,70722.94849814763
44,70722.94849814763
45,64669.69202603905
46,64606.62143448008
47,64245.253119942616
48,64245.253119942616
49,57807.618881621216
50,54724.06105175127
51,48225.18300248594
52,48225.18300248594
53,47451.42862882472
54,39466.99814796525
55,36155.44465779456
56,36155.44465779456
57,36155.44465779456
58,34762.97597027144
59,33489.246916675926
60,33489.246916675926
61,33483.09197192133
62,33445.28774942259
63,33394.394866341885
64,33246.32824931583
65,32759.24838629393
66,32269.29230600113
67,32269.29230600113
68,32065.09011484041
69,31574.527486337647
70,29950.979872117885
71,29568.437180304805
72,29422.73295055034
73,29324.80292769341
74,29286.79641288393
75,29286.79641288393
76,29286.79641288393
77,29268.07118821751
78,29238.4112478947
79,29190.99896230706
80,29090.2603464084
81,29005.36259686351
82,28984.07544144038
83,28979.9381000786
84,28972.34374822324
85,28972.34374822324
86,28970.929735929465
87,28970.929735929465
88,28933.48818806121
89,28892.165296772542
90,28844.643461083542
91,28797.04576541971
92,28797.04576541971
93,28797.04576541971
94,28797.04576541971
95,26513.49776146137
96,20440.962123105863
97,16366.120372771917
98,14808.728036439486
99,14752.667799505514
100,14752.667799505514
101,14740.26497484572
102,14722.251819272413
103,14711.072329780603
104,14685.57328962521
