,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.25,1.0,0.5,0.25,0.0,5.0,0.75,0.25,0.25,0.0,0.06284128648134557,What they knew
1,0.5,0.25,1.0,0.5,0.0,4.800000000000001,1.0,0.25,0.25,0.0,0.010079733786047245,Global
2,0.0,0.5,0.25,0.25,0.25,3.0,2.0,0.0,0.0,0.0,0.10950637292093174,Global
3,0.25,1.0,0.25,0.5,0.75,1.4,0.0,0.0,0.5,0.0,0.2824245554765316,Global
4,0.25,0.25,1.25,1.0,0.25,1.4,0.0,0.25,0.5,0.0,0.023296692513061282,Global
5,0.5,1.0,0.25,0.25,0.25,5.0,0.25,0.25,0.0,0.0,0.14359825506875448,What they knew
6,0.25,1.0,0.0,1.25,0.25,5.0,0.0,0.0,0.0,1.5,5.4743864703866745,What they knew
7,0.0,1.0,0.25,0.5,0.0,5.0,0.0,0.0,0.0,1.75,1.5139428963323438,What they knew
8,0.25,1.75,0.0,1.75,0.25,5.0,0.0,0.25,0.0,0.0,1.1645842883860973,What they knew
9,0.0,0.0,3.5,0.0,0.0,1.6,0.0,0.0,0.0,1.25,-5.57721792976717e-13,Global
10,0.0,0.0,3.25,0.0,0.0,1.0,0.0,0.0,0.0,1.5,3.094351991795866e-11,Global
11,0.0,0.5,0.0,2.0,0.25,1.6,0.0,0.0,0.0,1.75,2.42456800701287,Global
12,0.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1.25,0.13221246215701601,Global
13,0.0,0.0,0.0,3.25,0.0,1.4,0.0,0.0,0.0,1.5,0.2241279875297111,Global
14,0.0,1.0,0.0,1.75,0.0,5.0,0.0,0.0,0.0,1.5,6.314485252807038,What they knew
15,0.75,1.0,0.25,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.02347163124919082,What they knew
16,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.25,7.864546449824997,What they knew
17,0.0,1.0,0.25,0.5,0.0,5.0,0.5,0.0,0.5,1.0,0.6014661367540313,What they knew
18,0.0,2.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.5,10.864862660717872,What they knew
19,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.25,10.389763681152353,What they knew
20,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.75,11.291353243939588,What they knew
21,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.75,11.77370077179145,What they knew
22,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,12.568932395036022,What they knew
23,0.0,1.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,11.942596275424133,What they knew
24,0.0,1.0,0.0,0.25,0.0,5.0,0.0,0.0,0.0,3.5,12.374948891498907,What they knew
25,0.0,0.0,0.0,0.0,0.0,5.0,1.25,0.0,0.0,3.25,0.14352884186348933,Global
26,0.0,0.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,3.25,0.6016477249286307,Global
27,0.25,0.0,0.0,0.25,0.0,4.800000000000001,0.0,0.0,0.25,3.25,1.2356692241943636,Global
28,0.0,0.0,0.0,0.25,0.0,4.800000000000001,0.0,0.0,0.0,3.25,3.937749026473787,Global
29,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.25,3.3313490020826944,Global
30,0.0,1.0,0.0,0.5,0.0,5.0,0.0,0.0,0.0,3.25,11.117419819670696,What they knew
31,0.0,1.0,0.0,0.25,0.0,5.0,0.25,0.25,0.0,1.0,1.8432952525150665,What they knew
32,0.0,1.25,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,3.5,12.118999421316527,Global
33,0.0,1.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.25,12.610470715081426,Global
34,0.0,1.25,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,3.25,12.769856923359715,Global
35,0.0,1.25,0.0,0.0,0.0,2.8,0.0,0.0,0.0,3.25,10.861837854333029,Global
