,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.5844096362721443,Dye-sceptic
1,1.25,0.25,1.75,0.0,0.25,2.6,0.0,0.0,0.25,0.0,0.031169754649334185,Dye-advocate
2,3.25,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.25,0.0,0.00380684768147144,AR87-advocate
3,0.5,0.0,0.25,0.5,1.0,1.0,0.0,0.75,0.0,0.0,0.029430461800487064,Surfactant-sceptic
4,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.659851038793567,Scavenger-Obsessive
5,0.25,0.25,0.0,0.0,2.0,4.800000000000001,0.0,0.0,0.0,1.5,0.8448324343211289,pH-Obsessive
6,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.0,3.5,0.38533186088921156,H-bonding Obsessive
7,0.0,0.25,0.25,0.25,2.5,4.0,0.0,0.25,0.0,0.75,0.08869304849871062,Halophile
8,0.5,0.0,0.25,0.0,1.0,1.0,0.0,0.75,0.5,0.0,0.020543127985418713,Halophobe
9,0.5,0.0,0.25,0.5,1.0,1.0,0.0,0.75,0.5,0.0,0.02190071879721902,Global
10,0.0,5.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.0,3.0634240783096405,Surfactant-sceptic
11,0.75,2.75,0.0,0.25,0.0,4.4,0.0,0.0,0.0,0.0,0.05244827952888517,Surfactant-sceptic
12,0.0,4.0,0.0,0.0,0.0,4.800000000000001,0.0,0.75,0.0,0.0,0.27559668308217333,Global
13,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1939044132681638,Global
14,1.25,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000685314878134343,Global
15,0.0,0.75,0.0,0.75,0.0,4.800000000000001,1.25,0.0,0.0,0.75,3.1818612940541415,Global
16,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,3.1522204537730136,Global
17,0.0,4.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.5,8.992324731623192,Scavenger-Obsessive
18,0.0,3.75,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.75,8.01034731291982,Dye-sceptic
19,0.5,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.7577263328535762,Scavenger-Obsessive
20,0.0,4.0,0.5,0.0,0.0,4.800000000000001,0.25,0.0,0.0,0.0,0.094866644492418,Global
21,0.0,4.0,0.0,0.0,0.75,4.800000000000001,0.0,0.0,0.0,0.0,13.293095422905367,Global
22,0.0,4.0,0.0,0.0,0.75,5.0,0.0,0.0,0.0,0.0,13.161330447892368,Global
23,0.0,3.75,0.0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,13.322148139787764,Global
24,0.0,3.75,0.0,0.0,0.75,4.800000000000001,0.0,0.0,0.0,0.0,14.267316097953113,Global
25,0.0,3.5,0.0,0.0,0.5,5.0,0.25,0.0,0.0,0.0,9.455586181422248,Global
26,0.0,3.5,0.0,0.25,0.5,5.0,0.0,0.0,0.0,0.0,13.755298303521045,Global
27,0.0,3.5,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,10.145127887354363,Global
28,0.0,3.75,0.0,0.25,0.75,5.0,0.0,0.0,0.0,0.0,16.78275506417947,Global
29,0.0,3.75,0.0,0.25,0.5,4.4,0.0,0.0,0.0,0.0,15.14494052573427,Global
30,0.0,3.75,0.0,0.25,0.75,4.800000000000001,0.0,0.0,0.0,0.0,17.25526372554029,Global
31,0.0,1.25,0.0,0.5,0.25,4.6,0.75,0.0,0.0,0.5,12.68913449057894,Global
32,0.0,1.25,0.0,0.25,0.25,4.6,0.5,0.0,0.0,0.0,10.228796757268501,Global
33,0.0,1.25,0.0,0.5,0.25,4.4,0.5,0.0,0.0,0.5,13.207643063303085,Global
34,0.0,1.25,0.0,0.5,0.25,4.4,0.5,0.0,0.0,0.25,12.47046947121797,Global
35,0.0,3.0,0.0,0.25,0.5,4.4,0.0,0.0,0.0,0.0,12.802262780857731,Global
36,0.0,3.5,0.0,0.25,0.75,4.4,0.0,0.0,0.0,0.0,18.655239014027984,Surfactant-sceptic
37,0.0,3.5,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.0,17.778905885608182,Surfactant-sceptic
38,0.0,3.25,0.0,0.25,0.75,4.4,0.0,0.0,0.0,0.0,16.8469165806097,Dye-sceptic
39,0.0,3.25,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.0,16.26125948370659,Global
40,0.0,1.25,0.0,0.25,0.75,2.8,0.0,0.0,0.0,0.0,11.139470090337602,Global
41,0.0,3.5,0.0,0.25,0.75,4.2,0.0,0.0,0.0,0.0,18.343862892874583,Global
42,0.0,2.0,0.0,0.5,0.5,4.800000000000001,0.25,0.0,0.0,0.75,14.66607025761155,Global
43,0.0,3.5,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.25,19.59951834705589,Global
44,0.0,3.5,0.0,0.25,0.75,3.8000000000000003,0.0,0.0,0.0,0.25,18.438845047553272,Global
45,0.25,1.0,0.0,0.25,0.25,3.0,0.5,0.0,0.25,0.0,3.12937847333387,Global
46,0.0,1.25,0.0,1.0,1.0,3.6,0.0,0.0,0.25,0.0,12.652309592091978,Global
47,0.0,3.25,0.0,0.25,0.75,4.2,0.0,0.0,0.0,0.25,18.578425808667063,Global
48,0.0,1.5,0.0,0.25,0.25,4.6,0.5,0.0,0.25,0.0,6.985240121593675,Global
49,0.0,0.75,0.0,0.25,0.75,3.8000000000000003,0.0,0.0,0.0,0.75,17.091094160672547,Dye-sceptic
50,0.0,3.5,0.0,0.25,0.75,4.2,0.0,0.0,0.0,0.25,20.653335573673132,Surfactant-sceptic
51,0.0,1.25,0.0,0.25,0.75,4.2,0.0,0.0,0.0,0.25,16.447113702618132,Dye-sceptic
52,0.0,0.75,0.0,0.5,0.25,3.2,0.0,0.0,0.0,0.75,13.472779400517762,Dye-sceptic
53,0.0,0.25,0.0,0.5,0.25,3.6,1.0,0.0,0.25,1.0,2.9423996159913797,Global
54,0.0,2.0,0.0,0.0,0.75,4.800000000000001,0.5,0.25,0.0,0.5,2.3795835158715812,Global
55,0.0,0.25,0.0,0.5,1.0,2.2,0.0,0.0,0.0,0.25,5.337032282134264,Global
56,0.0,0.5,0.0,1.0,1.0,2.4000000000000004,0.0,0.0,0.25,0.5,6.665111800110519,Global
57,0.0,1.5,0.0,0.25,1.25,4.2,0.25,0.0,0.0,0.0,12.357609257576716,Global
58,0.0,1.75,0.0,0.75,0.5,4.0,0.0,0.0,0.0,0.25,17.060727477814275,Dye-sceptic
59,0.0,0.5,0.0,0.25,0.5,4.6,0.0,0.0,0.0,0.75,10.83689931329852,Surfactant-sceptic
60,0.0,3.25,0.0,0.5,0.75,4.2,0.0,0.0,0.0,0.25,17.7747188032626,Global
61,0.0,3.0,0.0,0.25,0.75,4.0,0.0,0.0,0.0,0.25,16.25695150529164,Global
62,0.25,0.75,0.0,1.0,1.0,3.2,0.0,0.0,0.5,0.25,2.097762018111407,Global
63,0.0,0.0,0.0,1.5,1.0,2.6,0.0,0.0,0.5,0.25,1.2826414746447914,Global
64,0.25,0.25,0.0,0.75,1.0,4.6,0.25,0.0,0.25,1.25,2.254202240963384,Global
65,0.0,1.0,0.0,0.5,0.75,4.0,0.0,0.0,0.0,0.5,21.58470310473099,Dye-sceptic
66,0.0,2.0,0.0,0.5,0.75,4.0,0.0,0.0,0.0,0.25,16.90460808912282,Dye-sceptic
