,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.0,1.0,0.0,0.25,1.75,5.0,0.25,0.0,0.0,0.0,6.3402236589200145,What they knew
1,0.25,0.0,0.25,0.25,2.25,3.0,0.5,0.0,0.0,0.0,0.07805964968259241,Global
2,0.0,0.0,0.5,0.25,0.25,4.6,0.0,0.0,0.75,1.25,0.03260628411640059,Global
3,0.75,0.25,0.0,0.25,0.25,1.8,0.25,1.25,0.5,0.0,0.0035557708597256966,Global
4,0.25,0.0,0.0,0.5,0.5,1.2,0.25,0.25,0.5,1.5,0.1658629716749758,Global
5,0.0,1.0,0.0,0.0,1.75,5.0,0.0,0.0,0.0,0.0,7.512501504883906,What they knew
6,0.0,1.0,0.25,0.0,1.5,5.0,0.0,0.25,0.5,0.0,0.19872927590127218,What they knew
7,0.0,1.0,0.0,0.0,1.75,5.0,0.0,0.0,0.0,1.25,9.640184194230663,What they knew
8,0.0,1.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0,2.25,6.03689952943526,What they knew
9,0.0,1.0,0.0,0.0,1.75,5.0,0.0,0.0,0.0,2.0,6.487560716984817,What they knew
10,2.5,1.0,0.25,0.0,0.0,1.4,0.0,0.0,0.0,0.75,9.52649423326839e-05,Global
11,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.75,2.818534676935478,Global
12,0.0,1.0,0.0,0.0,1.25,3.8000000000000003,0.0,0.0,0.0,0.75,9.655043235677123,Global
13,1.0,1.25,0.0,0.0,0.0,4.800000000000001,0.5,0.0,0.0,0.75,0.032067648169294145,Global
14,0.0,1.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.75,8.226257913200552,Global
15,0.0,1.0,0.0,0.0,1.0,4.800000000000001,0.0,0.0,0.0,0.75,11.165461576167608,Global
16,0.0,1.0,0.0,0.0,0.75,4.800000000000001,0.0,0.0,0.0,0.75,13.882939037727427,Global
17,0.0,1.0,0.0,0.0,0.25,5.0,0.0,0.0,0.0,0.75,9.922230024703742,Global
18,0.0,1.0,0.0,0.5,0.75,4.800000000000001,0.0,0.0,0.0,0.75,18.67244024708853,Global
19,0.0,0.25,0.0,0.5,0.0,4.2,0.25,0.0,0.25,1.75,3.1035631094490337,Global
20,0.0,0.5,0.75,0.0,1.75,3.4000000000000004,0.25,0.0,0.0,0.0,0.01101581248703242,Global
21,0.0,0.25,0.0,0.5,1.25,3.2,0.25,0.0,0.75,0.5,1.0856628272243334,Global
22,0.0,1.0,0.0,0.5,0.75,4.800000000000001,0.0,0.25,0.0,0.75,3.3754286826357536,Global
23,0.25,1.25,0.0,0.25,0.0,4.4,0.25,0.0,0.5,0.5,1.8089088329040717,Global
24,1.0,1.0,0.25,0.25,0.0,5.0,0.0,0.0,0.0,0.75,0.021103243953931882,What they knew
25,0.5,1.0,0.0,0.5,0.0,5.0,0.0,0.25,0.25,0.75,0.25988438718811424,What they knew
26,0.0,1.5,0.0,0.25,0.5,3.6,0.25,0.0,0.0,0.25,11.37199346720128,Global
27,0.0,1.0,0.0,0.5,0.5,4.800000000000001,0.0,0.0,0.0,0.75,16.683640170523333,Global
28,0.0,1.0,0.0,0.5,0.5,4.6,0.0,0.0,0.0,0.75,17.462210380149745,Global
29,0.0,1.0,0.0,0.5,0.5,4.2,0.0,0.0,0.0,0.75,18.739097639875936,Global
30,0.0,1.0,0.0,0.25,0.5,4.2,0.0,0.0,0.0,0.75,16.82802763251418,Global
31,0.0,1.0,0.0,0.25,0.5,3.6,0.0,0.0,0.0,0.75,17.255467594145866,Global
32,0.0,1.0,0.0,0.25,0.5,3.0,0.0,0.0,0.0,0.75,15.91781538161425,Global
33,0.0,1.0,0.0,0.25,0.5,3.8000000000000003,0.0,0.0,0.0,0.75,17.30223645843595,Global
34,0.0,1.0,0.0,0.25,0.5,4.0,0.0,0.0,0.0,0.75,17.152071312230117,Global
35,0.0,1.0,0.25,0.5,0.0,5.0,0.0,0.0,0.0,0.75,1.4885025388055018,What they knew
36,0.0,1.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.75,7.07259334896934,What they knew
37,0.0,1.0,0.0,0.5,0.5,3.8000000000000003,0.0,0.0,0.0,0.75,19.404048661351027,Global
38,0.0,1.0,0.0,0.5,0.5,3.6,0.0,0.0,0.0,0.75,19.378569377969157,Global
39,0.0,0.75,0.0,0.25,0.5,2.8,0.0,0.0,0.25,1.5,7.990834747218029,Global
40,0.25,0.5,0.0,0.5,0.5,4.800000000000001,0.0,0.0,0.25,1.0,3.630480188735806,Global
41,0.0,1.0,0.0,1.25,0.5,4.2,0.5,0.0,0.5,0.0,5.110611664240811,Global
42,0.0,1.0,0.0,0.5,0.5,3.6,0.0,0.0,0.0,0.5,18.302323426964705,Global
43,0.0,1.0,0.0,0.25,0.0,5.0,0.0,0.0,0.0,0.75,7.231251356208006,What they knew
