,No Hypothesis
0,20.657074665235506
1,20.657074665235506
2,20.657074665235506
3,20.657074665235506
4,20.657074665235506
5,20.657074665235506
6,20.657074665235506
7,16.449275257829097
8,16.449275257829097
9,16.449275257829097
10,16.449275257829097
11,16.449275257829097
12,16.449275257829097
13,16.449275257829097
14,16.449275257829097
15,16.449275257829097
16,16.449275257829097
17,16.449275257829097
18,16.449275257829097
19,16.449275257829097
20,16.449275257829097
21,16.449275257829097
22,16.449275257829097
23,16.449275257829097
24,16.449275257829097
25,16.449275257829097
26,16.449275257829097
27,16.449275257829097
28,16.449275257829097
29,16.449275257829097
30,16.449275257829097
31,16.449275257829097
32,16.449275257829097
33,16.449275257829097
34,16.449275257829097
35,16.449275257829097
36,16.449275257829097
37,16.449275257829097
38,16.449275257829097
39,16.449275257829097
40,16.449275257829097
41,16.449275257829097
42,16.449275257829097
43,16.449275257829097
44,16.449275257829097
45,16.449275257829097
46,16.449275257829097
47,16.449275257829097
48,16.449275257829097
49,16.449275257829097
50,16.449275257829097
51,16.449275257829097
52,16.449275257829097
53,16.449275257829097
54,16.449275257829097
55,16.449275257829097
56,16.449275257829097
57,16.449275257829097
58,16.449275257829097
59,16.449275257829097
60,16.449275257829097
61,16.449275257829097
62,16.449275257829097
63,16.449275257829097
64,16.449275257829097
65,16.449275257829097
66,16.449275257829097
67,16.449275257829097
68,16.449275257829097
69,16.449275257829097
70,16.449275257829097
71,16.449275257829097
72,16.449275257829097
73,16.449275257829097
74,16.449275257829097
75,16.449275257829097
76,16.449275257829097
77,16.449275257829097
78,16.449275257829097
79,16.449275257829097
80,16.449275257829097
81,16.449275257829097
82,16.449275257829097
83,16.449275257829097
84,16.449275257829097
85,16.449275257829097
86,16.449275257829097
87,16.449275257829097
88,16.449275257829097
89,16.449275257829097
90,16.449275257829097
91,16.449275257829097
92,16.449275257829097
93,16.449275257829097
94,16.449275257829097
95,16.449275257829097
96,16.449275257829097
97,16.449275257829097
98,16.449275257829097
99,16.449275257829097
100,16.449275257829097
101,16.449275257829097
102,16.449275257829097
103,16.449275257829097
104,16.449275257829097
