,No Hypothesis
0,8.69720520796367
1,8.69720520796367
2,8.69720520796367
3,5.609222681922832
4,5.609222681922832
5,5.609222681922832
6,5.609222681922832
7,5.609222681922832
8,5.609222681922832
9,4.8186651353449275
10,4.8186651353449275
11,4.8186651353449275
12,3.6362850503002906
13,3.6362850503002906
14,3.6362850503002906
15,3.6362850503002906
16,3.6362850503002906
17,3.6362850503002906
18,3.6362850503002906
19,3.6362850503002906
20,3.6362850503002906
21,3.6362850503002906
22,3.6362850503002906
23,3.6362850503002906
24,3.6362850503002906
25,3.6362850503002906
26,3.6362850503002906
27,3.6362850503002906
28,3.6362850503002906
29,3.6362850503002906
30,3.6362850503002906
31,3.6362850503002906
32,3.6362850503002906
33,3.6362850503002906
34,3.6362850503002906
35,3.6362850503002906
36,3.6362850503002906
37,3.6362850503002906
38,3.6362850503002906
39,3.6362850503002906
40,3.6362850503002906
41,3.6362850503002906
42,3.6362850503002906
43,3.6362850503002906
44,3.6362850503002906
45,3.6362850503002906
46,3.6362850503002906
47,3.6362850503002906
48,3.6362850503002906
49,3.6362850503002906
50,3.6362850503002906
51,3.6362850503002906
52,3.6362850503002906
53,3.6362850503002906
54,3.6362850503002906
55,3.6362850503002906
56,3.6362850503002906
57,3.6362850503002906
58,3.6362850503002906
59,3.6362850503002906
60,3.6362850503002906
61,3.6362850503002906
62,3.6362850503002906
63,3.6362850503002906
64,3.1317940320140933
65,3.1317940320140933
66,3.1317940320140933
67,3.1317940320140933
68,3.1317940320140933
69,3.1317940320140933
70,0.9237015374869076
71,0.9237015374869076
72,0.9237015374869076
73,0.9237015374869076
74,0.9237015374869076
75,0.9237015374869076
76,0.9237015374869076
77,0.9237015374869076
78,0.9237015374869076
79,0.9237015374869076
80,0.9237015374869076
81,0.9237015374869076
82,0.9237015374869076
83,0.9237015374869076
84,0.9237015374869076
85,0.9237015374869076
86,0.9237015374869076
87,0.9237015374869076
88,0.9237015374869076
89,0.9237015374869076
90,0.9237015374869076
91,0.9237015374869076
92,0.9237015374869076
93,0.9237015374869076
94,0.9237015374869076
95,0.9237015374869076
96,0.9237015374869076
97,0.9237015374869076
98,0.9237015374869076
99,0.9237015374869076
100,0.9237015374869076
101,0.9237015374869076
102,0.9237015374869076
103,0.9237015374869076
104,0.9237015374869076
