,No Hypothesis
0,4268253.051925747
1,2057530.638425393
2,1874841.61971578
3,1874841.61971578
4,1874841.61971578
5,1874841.61971578
6,1539230.4070708882
7,1539230.4070708882
8,1539230.4070708882
9,1539230.4070708882
10,1487476.3195148478
11,1487476.3195148478
12,1487476.3195148478
13,1487476.3195148478
14,1487476.3195148478
15,917323.4617196508
16,917323.4617196508
17,917323.4617196508
18,917323.4617196508
19,741080.8038244621
20,741080.8038244621
21,741080.8038244621
22,741080.8038244621
23,741080.8038244621
24,741080.8038244621
25,741080.8038244621
26,741080.8038244621
27,741080.8038244621
28,741080.8038244621
29,741080.8038244621
30,741080.8038244621
31,741080.8038244621
32,741080.8038244621
33,741080.8038244621
34,741080.8038244621
35,207397.40969830315
36,207397.40969830315
37,207397.40969830315
38,207397.40969830315
39,207397.40969830315
40,207397.40969830315
41,207397.40969830315
42,158730.5076335189
43,158730.5076335189
44,158730.5076335189
45,158730.5076335189
46,92853.72507212638
47,92853.72507212638
48,79557.0765810584
49,79557.0765810584
50,79557.0765810584
51,79557.0765810584
52,79557.0765810584
53,79557.0765810584
54,79557.0765810584
55,79557.0765810584
56,79557.0765810584
57,49474.46556448213
58,49474.46556448213
59,49474.46556448213
60,49474.46556448213
61,49474.46556448213
62,49474.46556448213
63,49474.46556448213
64,49474.46556448213
65,49474.46556448213
66,49474.46556448213
67,49474.46556448213
68,49474.46556448213
69,49474.46556448213
70,49474.46556448213
71,49474.46556448213
72,49474.46556448213
73,32811.58516528884
74,32811.58516528884
75,32811.58516528884
76,25745.889087927077
77,25745.889087927077
78,25745.889087927077
79,25745.889087927077
80,25745.889087927077
81,25745.889087927077
82,25745.889087927077
83,25745.889087927077
84,25745.889087927077
85,25745.889087927077
86,25745.889087927077
87,25745.889087927077
88,25745.889087927077
89,18821.97877227931
90,18821.97877227931
91,18821.97877227931
92,18821.97877227931
93,18821.97877227931
94,18821.97877227931
95,18821.97877227931
96,18821.97877227931
97,18821.97877227931
98,18821.97877227931
99,18821.97877227931
100,18821.97877227931
101,18821.97877227931
102,18821.97877227931
103,18821.97877227931
104,18821.97877227931
