x1,x2,x3,x4,x5,x6,x7,x8,x9,target,model_name,level,iteration
0.63330996,-0.59071064,-0.69198835,-0.83506566,-0.070610404,-0.041415334,0.9915875,-0.64949214,0.6810944,-4.099063,Good,Local,1
-8.017152,-6.619644,-8.075245,-7.4570255,-7.0046177,-7.882496,-7.6007066,-7.0585675,-8.173375,-16.986717,Weak,Local,2
-32.490845,-31.754429,-32.283173,-30.994276,-31.623775,-31.184404,-31.906206,-32.682514,-31.236174,-21.681847,Poor,Local,3
17.584305,-26.310738,26.50687,4.101757,-3.6947975,26.98809,7.997223,-31.876526,15.425091,-21.381271,Global,Global,4
-19.216011,-14.309523,-16.242764,-22.641201,-13.7256565,-14.006475,-30.479902,-24.239857,25.373951,-21.562145,Global,Global,5
-0.22929192,-0.604334,0.50213826,0.52232957,-0.9874828,0.5838839,-0.6667043,0.86448264,0.62848616,-4.4569407,Good,Local,6
0.76166755,-0.5880693,-0.66694504,-0.8211524,0.11543618,-0.04152162,0.112655886,-0.43139035,0.67039293,-3.7691603,Good,Local,7
0.9287203,-0.5862616,-0.68549407,-0.7227762,0.24171965,-0.041076444,-0.47242203,-0.35724697,0.66343004,-4.081689,Good,Local,8
0.40481862,-0.5884333,-0.524222,-1.0,0.09266568,-0.04510879,0.1989308,-0.16670415,0.67080235,-3.593173,Good,Local,9
0.1447694,-0.5874965,-0.38387534,-1.0,0.025151603,-0.07094659,0.13155204,0.08328974,0.68394727,-3.1197329,Good,Local,10
-0.8795993,-0.5689307,-0.6284585,-0.5797506,-0.04775238,0.74343467,-0.85782516,0.805128,0.77144134,-4.288047,Good,Local,11
-0.092335746,-0.58666605,-0.2543279,-1.0,0.0039040234,-0.08781192,0.0067968643,0.329005,0.69097924,-3.1321077,Good,Local,12
1.3140064,1.0148902,8.93255,-7.447651,2.75904,-7.040826,6.9829383,5.979927,2.2502558,-14.737275,Global,Global,13
2.0317338,-0.63062644,1.452979,-3.8444297,1.4432591,-3.5556283,-1.3090645,0.70360804,0.44693485,-8.8247795,Global,Global,14
-6.527571,0.23932892,7.0363626,-0.9790056,-4.567083,-2.4773757,10.800055,6.218241,-0.036720157,-15.031473,Global,Global,15
-0.5613622,-0.4875157,-6.1051326,-8.031968,29.355928,-0.59172606,-12.275111,14.518281,19.872593,-20.66438,Global,Global,16
-10.544459,-0.22906387,-8.77886,-6.5973043,5.3252635,3.757126,0.19804707,2.5416203,2.029368,-15.384669,Global,Global,17
0.31284222,-0.5842216,-0.3226909,-1.0,-0.09834906,-0.2625069,0.05369669,0.069118805,0.68923026,-3.3772268,Good,Local,18
0.0114264805,-0.5897867,-0.46499264,-1.0,0.0059532267,0.07708814,0.011318797,0.2576232,0.689166,-3.2244196,Good,Local,19
1.1439272,-0.669006,3.1571374,-1.0602617,0.33119297,0.036538247,2.7302094,2.6408255,0.2058958,-7.4163303,Global,Global,20
-2.8073702,-0.37660447,0.85431737,-0.5067196,1.5745542,0.8576622,4.2957673,0.53268695,1.9036674,-8.3546,Global,Global,21
-0.3072187,-0.9031288,-6.6798325,-3.265365,4.2122006,-1.5489885,-12.498112,-2.6721594,-0.6229487,-14.879218,Global,Global,22
6.529692,0.8032814,-8.187545,4.9477205,-10.196417,3.491264,-0.70800596,-5.562618,2.3558638,-15.446609,Global,Global,23
-14.8261175,-0.39523834,3.5736558,-0.65403384,-3.8452568,-3.5475845,0.29213572,3.9636052,3.2025423,-15.371346,Global,Global,24
-0.015744558,-0.585019,-0.16277564,-0.95845485,0.08707387,-0.18534343,0.2746128,0.053845614,0.6915102,-3.025035,Good,Local,25
-0.009873061,-0.58296776,-0.29330865,-1.0,0.17568102,-0.3456669,0.2200148,0.29541466,0.6482362,-3.5672426,Good,Local,26
0.0063876305,-0.58710814,0.048324835,-0.7078475,0.0867094,-0.046132613,0.120931245,-0.15101278,0.68990237,-2.7299929,Good,Local,27
-0.10954823,-0.58969516,0.007891097,-0.47400898,0.19216736,-0.0013334138,0.18888655,-0.10616026,0.6954314,-2.833953,Good,Local,28
0.036015105,-0.5867977,0.1768305,-0.7044215,-0.0028523537,0.025565822,0.013343692,-0.31191704,0.7190347,-2.9318762,Good,Local,29
-2.323912,-0.65931785,12.689957,-0.6122192,4.658486,1.920929,0.42522734,-7.006071,1.7637973,-14.835811,Global,Global,30
-0.27194887,-0.34164235,1.5180082,-1.2698635,4.996244,0.15812394,-1.3651788,-3.5995524,1.757114,-9.225944,Global,Global,31
15.15643,32.76563,0.7345799,32.768,-0.14179374,0.4651795,-3.5354524,23.172506,2.4552357,-21.297241,Global,Global,32
-1.9613259,-1.3889678,7.538837,7.2041707,-10.830332,9.087761,-0.087037936,-0.50785303,0.6400794,-15.585248,Global,Global,33
2.34886,-3.9213698,-5.405151,7.414571,4.434852,-4.4784937,0.7210541,7.976161,-5.1957107,-14.748292,Global,Global,34
-0.13022001,-0.5851267,0.27253082,-0.7017514,-0.041449174,0.20066677,0.22777864,-0.25156704,0.6848781,-3.2685022,Good,Local,35
0.08048183,-0.5977126,0.03626604,-0.5536018,-0.15151516,-0.051842444,0.077739574,-0.004684102,0.6773534,-2.7006617,Good,Local,36
0.14257991,-0.58737427,0.05110721,-0.3358344,0.4123872,0.004259004,0.09782887,0.10590679,0.69803727,-2.9037905,Good,Local,37
0.018947616,-0.58533716,-0.026597556,-0.26704523,-0.73978543,-0.060877867,-0.025391942,-0.118979916,0.65180296,-2.839795,Good,Local,38
-3.6616373,-1.1450906,12.099539,13.780747,-3.004594,-0.8323767,0.0029407963,-0.4063837,0.5795461,-15.854047,Global,Global,39
-0.15468295,-10.38099,-10.1065,16.131804,0.7773686,5.896918,0.48718387,-0.582874,0.547422,-17.317177,Global,Global,40
-16.75533,-1.4373101,-15.378935,-1.5298773,-4.077805,-30.065714,5.286569,3.60588,-3.1001763,-20.30196,Global,Global,41
-0.18559541,-0.4388482,18.811253,-0.06591509,10.193165,-15.716043,-0.9318134,-0.44383428,5.6887345,-18.39431,Global,Global,42
4.08896,-3.1518526,0.05759096,2.649408,-3.903609,11.202661,-9.947564,-12.860299,-1.7926892,-16.101414,Global,Global,43
0.011348437,-0.61582947,0.020221889,-0.9451464,0.13825248,-0.0694895,-0.019964183,-0.14622378,0.66045094,-2.7039938,Good,Local,44
0.025485424,-0.6247791,0.06363662,-0.9276765,-0.3811838,-0.064443015,0.09973068,-0.037104115,0.71762776,-2.9516573,Good,Local,45
10.842805,-11.765646,0.28222057,-9.07672,-4.2036753,3.8961043,0.589423,-16.708063,-9.711329,-18.351166,Global,Global,46
-3.7600267,-0.98810875,0.5156616,0.41769594,-0.28979677,-1.4643985,-0.0010049889,-0.51654446,1.519902,-7.1985073,Global,Global,47
-0.67611206,-6.8363585,1.2132118,-0.1409037,-1.2648616,-17.145285,-16.189339,-0.605262,-1.4264736,-17.842133,Global,Global,48
-0.76962733,6.720154,-0.31112322,1.987212,1.9529858,-3.710673,-1.1350849,-0.6620011,4.3639054,-10.9360485,Global,Global,49
-0.62520295,-4.079001,12.384068,-0.24184038,4.924816,-0.86974007,-0.7605638,-0.44431293,-1.7088224,-13.92068,Global,Global,50
0.037733816,-0.60554457,0.028215852,-0.23087996,0.14836355,-0.058807537,0.09653493,-0.4376326,0.6571866,-2.7855196,Good,Local,51
0.024928132,-0.59862083,0.15581347,-0.5187567,0.17026591,-0.088597186,-0.061763,-0.11448489,0.65943867,-2.8150873,Good,Local,52
-0.5296367,6.447821,7.6112714,0.24274114,5.37107,-5.8198614,-4.966799,-0.67690897,1.3266236,-13.999581,Global,Global,53
-0.42413646,-14.813662,0.963854,-0.2701666,-1.3864807,-1.9633105,-0.25230238,-0.3955916,-5.045236,-14.695333,Global,Global,54
-0.7809632,-2.1913376,-0.9353085,2.9934456,2.5927298,-4.682526,-1.1404077,-0.6717638,2.4001694,-9.251389,Global,Global,55
-0.48095652,-1.1412548,0.8419844,-0.5135373,-2.2511435,-1.3194497,-1.0761559,-0.42986056,-19.087372,-16.262218,Global,Global,56
-0.25850624,-0.9970218,2.4040852,-0.5028958,-0.594045,-5.4276476,0.15915954,-5.780006,2.6474712,-10.831633,Global,Global,57
0.052354723,-0.59858376,-0.036674023,-0.95977694,-0.013953442,0.011975397,0.03689958,-0.19888611,0.64911914,-2.707015,Good,Local,58
0.044919644,-0.5945049,-0.06074015,-0.4480665,-0.038201153,-1.4796074e-05,-0.11501012,-0.20222887,0.67683953,-2.7054396,Good,Local,59
-0.65645456,-0.7736208,0.7606599,-0.5014339,-7.7946796,0.3727655,-0.99908715,-0.5782221,-2.068494,-10.27161,Global,Global,60
4.590137,-1.8049632,-0.03791562,0.63836944,1.4458184,1.1956916,-0.9322749,-19.175299,4.3495336,-16.58252,Global,Global,61
-0.58933717,-1.4664608,2.1016073,-0.8205667,-0.6997837,-2.8844798,-1.3399451,-0.8179528,4.7779355,-8.725266,Global,Global,62
3.2667375,-2.5901394,-0.051394843,-1.3506931,0.606817,4.380697,-1.0997338,-1.4384584,4.2589626,-10.018107,Global,Global,63
-0.50003505,-17.827908,1.1974493,-2.7261412,0.26540527,-0.059818637,-3.9314888,-0.5666999,1.6129022,-15.95597,Global,Global,64
0.046567403,-0.59422916,-0.022450078,-1.0,-0.062296,-0.017120011,0.02121755,-0.1651455,0.66941816,-2.692874,Good,Local,65
0.03945423,-0.6108215,-0.03892042,0.28069207,-0.06567623,-0.0062596253,0.05190225,-0.09233546,0.6605761,-2.3632555,Good,Local,66
0.035181303,-0.6291452,-0.103728384,1.0,-0.11036019,0.0076473765,0.06487848,-0.068885066,0.61134934,-2.70498,Good,Local,67
0.034585793,-0.6143075,-0.12009195,1.0,0.016140174,0.21015559,0.055812467,-0.11506603,0.67842865,-2.8410215,Good,Local,68
-5.22392,0.27780414,-0.059481468,-0.08870962,8.886369,-13.76157,32.136604,20.089878,14.644078,-20.190556,Global,Global,69
-2.1732092,0.87516147,-0.7622123,0.9641752,-0.19296391,-0.037763562,-3.1237178,-5.8652997,1.3663552,-8.807924,Global,Global,70
-1.7244569,0.46599528,0.22516978,2.5017128,0.14157927,-0.030809557,-4.6642556,-0.21206564,-0.3572814,-8.088631,Global,Global,71
-0.9923144,-1.3967875,-0.17038397,0.66835237,-0.2969429,-0.069349624,-5.8638873,-5.4054604,5.0000973,-10.971518,Global,Global,72
-0.9506826,3.8190866,0.08387611,0.60634536,-0.36240917,1.084734,-0.06662272,-1.0224141,-0.85810894,-6.162965,Global,Global,73
0.044384576,-0.6095968,-0.10976619,1.0,-0.10405204,-0.11524345,0.0066542844,-0.074299745,0.703953,-2.7145987,Good,Local,74
1.0,-0.6030847,0.011863663,0.94169295,-0.18914498,-0.0052161696,0.13430035,-0.01448825,0.639411,-3.1448317,Good,Local,75
0.23545565,-2.4860272,2.6862807,2.8916223,-0.39004678,0.33134738,0.5336104,-0.53003246,1.140741,-7.576823,Global,Global,76
2.7953274,-3.9906752,0.55097705,25.18483,2.7326534,-5.312634,-3.3759224,-1.0445433,13.678039,-18.986725,Global,Global,77
