x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,target,model_name,level,iteration
0.26486057,1.9950514,1.8109907,1.323959,0.1424843,0.19002052,0.2401521,0.0795491,0.006931127,1.2729062,1.5100676,0.083712764,1.7804967,0.6019639,1.4140081,1.8099438,0.6140101,1.2742707,1.5738584,0.27724916,-3.7374113,Good,Local,1
-1.4823825,-2.4257383,-2.5250812,-2.8533177,-1.5599263,-2.9384077,-2.9176426,-1.976696,-2.2339864,-2.5278063,-2.1355455,-1.4278045,-2.5085669,-2.506135,-2.810071,-1.3764565,-2.7642083,-1.3297625,-1.4080218,-1.8882468,-120.40125,Weak,Local,2
-8.302215,-8.682805,-9.404688,-8.049103,-8.319198,-9.208308,-8.787494,-8.048908,-9.888969,-8.008252,-8.914273,-9.166382,-8.883527,-9.766187,-8.192853,-8.6456995,-9.607306,-8.539981,-9.794902,-9.2992735,-521.5825,Poor,Local,3
-8.596834,0.007013321,-7.610917,8.360306,8.299288,-3.6272783,-6.4557047,-3.1530285,-7.1809664,-0.8698759,8.831764,-8.292769,6.2406197,4.6265554,-1.7616377,2.7720919,-3.5704126,8.419819,6.4093723,6.478876,-218.94835,Global,Global,4
1.815546,-3.6818366,5.8728733,-1.0146008,8.74049,1.4250584,-8.861885,-6.1707363,-0.4187336,5.7118835,-5.5066276,-8.294559,0.20152855,8.318026,6.868908,-8.60746,-3.041143,-1.2794418,-0.41055107,0.26586914,-180.27213,Global,Global,5
1.644244,1.0798606,1.3625426,0.09883885,1.9764649,0.2849525,1.8227049,1.5799779,0.63582337,0.12846503,1.9942249,0.0566302,0.34965295,0.5338241,0.105896,1.4462512,0.5847795,1.9744048,0.7192115,1.1622115,-4.079335,Good,Local,6
0.020228153,1.1755587,1.145892,0.47404963,0.2194059,1.4502198,1.2599393,0.81732357,0.28697032,1.534191,1.1033442,1.2979848,1.9611933,0.8223719,0.007176101,0.035934135,0.8443867,0.8120642,1.0341535,1.6452948,-2.181178,Good,Local,7
0.0,1.072994,0.9830834,0.36384225,0.09008827,1.7171485,1.3919364,0.75945115,0.2804065,1.7322725,0.911409,1.7508962,2.0,0.8931647,0.0,0.06325513,0.92382336,0.6078351,0.99806905,1.9160627,-3.0979567,Good,Local,8
0.0,1.241622,1.2587346,0.5472551,0.28093314,1.2892632,1.1606766,0.86552465,0.2958834,1.4120687,1.2295921,0.98274255,1.9753948,0.7729186,0.0,0.0,0.7888043,0.9458119,1.0562536,1.4667656,-1.9953806,Good,Local,9
0.3591842,1.3208597,1.2365909,0.6493823,0.619051,1.0119689,1.2648574,0.69471663,0.17739184,1.2698123,1.272899,1.1075854,1.4396583,0.8214332,0.014206025,0.0,0.8287312,0.95352024,1.1288351,1.3761988,-1.1252,Good,Local,10
0.30697986,1.3457394,1.2479382,0.8076772,0.9629862,0.8659142,1.3783792,0.7163982,0.036792148,1.1015756,1.3738434,1.0556345,1.1355197,0.9050584,0.0,0.0,0.86930966,0.9155981,1.1702851,1.332202,-1.0355889,Good,Local,11
0.7878129,1.4723997,1.2208215,0.7727241,0.7244255,0.7441091,1.2226224,0.31293905,0.058401432,1.2989676,1.2160647,1.362802,1.0118347,0.8477077,0.0,0.0,0.8698701,0.91243875,1.2655852,1.238014,-0.9229158,Good,Local,12
0.9438474,1.3851126,1.114222,0.58575636,0.786639,0.7083762,1.4981079,0.6237639,0.11601306,1.0124694,1.2175347,1.3460352,0.7630414,0.8195509,0.39170918,0.0,0.8397587,1.0475521,1.1435779,1.3510002,-0.85781413,Good,Local,13
1.2746162,1.2715203,1.2473989,0.5574324,1.3818794,0.7803503,1.3226547,0.31571,0.26676682,1.3618628,1.4271078,1.3591815,0.8291059,0.82483643,0.0,0.0,0.8866462,1.0314273,1.130704,1.3433201,-1.1047881,Good,Local,14
1.0531392,1.4451386,1.2523859,0.86952174,0.33163908,0.9202131,1.3427664,1.0364562,0.0,0.84780854,1.2710932,1.4923961,0.6523743,0.6845691,0.0,0.0,0.90680397,0.95488715,1.1338181,1.2881596,-0.9303753,Good,Local,15
-2.5626907,2.913085,3.0821462,-1.365102,1.1301125,-1.6441227,3.8097985,1.4422833,4.0718637,-0.7009378,1.5220772,5.694703,1.3827924,-1.4362967,-0.884116,-0.8525405,3.081603,-0.3216029,4.160065,-2.0179405,-41.519417,Global,Global,16
0.23391895,-0.02561171,3.7906506,-1.1104689,2.2896926,0.6001824,-1.5216837,1.527702,2.8256016,-0.08337684,-2.3415854,2.8121977,-0.22002368,3.5993288,0.74444,1.5953568,0.8937796,0.20680688,3.924853,0.8108758,-18.16876,Global,Global,17
2.465608,4.5060344,4.0285373,1.0836288,-2.4991198,0.9611612,5.4374614,0.21688232,-0.4357081,2.4940796,-2.9228141,-1.0022471,0.34749827,5.4362807,-4.261868,2.8992612,1.0315412,1.8284489,0.49220642,1.8827596,-54.200375,Global,Global,18
1.1624752,1.8917016,3.8352492,-0.690157,1.4935488,1.4581811,1.9809264,0.43869326,1.764055,0.028732855,-1.5557249,-0.5340693,0.76011425,-3.130317,0.72346276,1.5326555,2.187892,-4.0934243,1.2569658,1.0366575,-17.180243,Global,Global,19
0.8036468,3.938018,0.15731107,0.75182045,3.579114,4.241889,-4.2423716,1.1097299,1.0373006,0.21104904,4.835432,3.1054804,-1.0198507,-0.7931529,3.0713646,0.63121784,2.4258091,1.357977,0.7220964,1.1234444,-15.679641,Global,Global,20
0.7342489,1.380804,1.2042732,0.75923187,0.3887164,0.95164025,1.4448053,0.29695907,0.054508433,0.76185465,1.271423,1.6036578,0.5432138,0.8253911,0.0,0.0,0.6914579,0.89066947,1.2395765,1.4154463,-1.2617836,Good,Local,21
1.1554768,1.4405552,1.0632923,0.82610816,0.60389227,0.6436907,1.6328384,0.55835915,0.013251241,0.8550887,1.0099449,1.2204885,1.2444088,0.7182513,0.0,0.0,0.96526927,1.0073794,0.96502244,1.3193713,-0.97943115,Good,Local,22
2.5743194,-1.2526934,2.9244494,4.465322,1.8475922,1.8835152,1.4743053,0.9839475,0.66999376,-0.5560393,4.4630027,3.03535,3.182801,-1.5436122,3.461266,-0.060271975,1.1075455,-0.10112919,3.0185087,2.3297577,-19.220781,Global,Global,23
0.83178806,1.7862499,2.9403927,1.691997,2.1231334,3.0094333,0.44720635,0.36253944,2.3650796,-1.320899,1.9399364,2.7395263,1.902203,2.5122604,1.3822106,1.2195725,2.7075887,0.2958231,-1.9180858,-1.2066438,-17.358065,Global,Global,24
1.1811955,2.2119036,-1.7572863,2.3106692,-0.7066042,-0.85844874,0.027779017,1.1805279,3.5144372,1.682621,3.2703686,-1.1258262,-0.6018362,2.5753763,3.518603,-0.2684241,2.3264093,-1.4754436,1.7213042,3.0770504,-16.920725,Global,Global,25
3.3842242,3.8280041,1.1461622,-0.87701416,1.6661795,3.2730837,-0.011089832,3.6169066,-2.1538289,2.7622747,3.4992425,3.284963,1.1629834,-2.7210176,1.0696225,-6.936912,0.30902702,6.7147536,3.7754676,3.5305142,-69.114525,Global,Global,26
1.1472709,3.2511456,1.1872232,0.88304025,1.4047573,1.9730512,-0.13259672,0.5350266,2.4389594,-0.8728033,1.5490996,1.0094086,1.7186011,-0.6579936,0.8125283,0.89597356,3.1549914,2.148965,4.5976562,3.9652548,-11.102641,Global,Global,27
0.62088186,1.4743097,1.0334433,0.3526354,0.42322317,0.72640765,1.3207005,1.5649629,0.06858247,1.3626374,1.1052921,1.3501086,0.78541476,0.82073367,0.0,0.0,0.9900535,1.1282321,1.2332579,1.2842575,-1.2742878,Good,Local,28
1.0772927,1.4510596,1.2808522,0.9800878,0.7086147,0.7892991,1.3321618,0.7075626,0.06721611,1.0095606,1.2894553,1.2413083,1.020992,0.71755695,1.3057189,0.0,0.88614553,0.9134197,1.082471,1.2627407,-0.71513146,Good,Local,29
0.9874159,1.3401495,1.3553848,0.68538666,0.48597917,0.8286749,1.26238,0.07351235,0.0,0.5461186,1.3168485,1.1854125,0.9081609,0.66843647,1.6305823,0.0,0.92993194,1.2917721,1.162835,1.0476177,-1.1118371,Good,Local,30
