x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,target,model_name,level,iteration
1.63331,0.40928933,0.30801165,0.16493432,0.9293896,0.95858467,1.9915875,0.3505079,1.6810944,0.4953536,0.70563084,1.2521938,0.93206453,0.6220723,-2932.204,Good,Local,1
3.3364482,4.7339563,3.2783556,3.8965752,4.348983,3.4711046,3.7528937,4.295033,3.1802256,3.1254106,2.9468706,4.551983,4.2877355,3.121631,-182398.06,Weak,Local,2
9.536631,8.19706,9.808926,9.125175,8.887243,9.823611,9.244056,8.027205,9.4707365,8.413574,8.563308,8.504311,8.309046,8.581126,-6711306.0,Poor,Local,3
-2.9213185,2.6017923,-1.363795,8.302945,3.5816908,6.876972,1.463469,-4.3588424,6.4887114,-0.91785526,-1.1641393,9.37424,-2.061666,3.8193655,-1675978.2,Global,Global,4
-1.8113871,9.794186,-4.330901,-0.023471355,0.1557002,-3.9316974,-3.0653024,-2.0285373,3.4929523,4.8452587,7.378478,-1.7172873,0.15619707,-0.15383768,-1441357.2,Global,Global,5
0.8449872,1.5468814,0.84823984,1.7765461,1.0892863,1.9654232,0.029246286,1.9246353,1.2259007,1.722853,0.6932548,0.35323912,0.76799446,1.3665245,-3992.0432,Good,Local,6
1.0510693,0.49174553,1.9295201,0.015907146,1.5483685,1.9840958,1.388121,0.3028774,1.6240641,0.31900337,0.84061325,0.96539927,0.40959343,0.42153367,-3739.3142,Good,Local,7
-0.16093422,5.870687,0.795433,2.549109,4.789878,0.85195786,3.0735474,2.2981582,1.1023388,-0.19007592,0.9046812,7.008614,3.92349,0.62032926,-403950.6,Global,Global,8
3.3229928,-2.7727697,7.2092147,5.2803187,2.2824905,-0.6320735,-1.3761832,1.3391106,2.567526,0.5776705,1.8552302,2.441679,4.2602262,1.9800724,-336964.38,Global,Global,9
5.439334,5.418941,1.2023578,1.201221,2.6314597,6.0254188,2.3482363,4.4862714,2.528256,1.3354439,-1.5756172,1.8408198,-2.144331,2.7476335,-291565.25,Global,Global,10
-1.7942582,-3.736963,0.23909897,1.9411405,1.1909477,7.0638494,6.5910587,0.91328144,2.1492767,3.0925193,1.6968615,1.8009657,3.1967847,2.7992597,-408632.16,Global,Global,11
4.2465453,3.4955277,0.99607027,-3.8728478,3.2497895,3.0495276,-2.0550802,4.598613,2.3321235,4.4179654,1.1772426,0.75663346,4.7063794,0.14581384,-187860.78,Global,Global,12
1.8486588,0.15836017,0.041890528,0.17380914,0.7820667,0.6826804,1.9068565,0.30386516,1.7397155,0.514397,0.68046665,1.376655,1.0531145,0.5648469,-3549.5283,Good,Local,13
1.5147606,0.55734175,0.44117072,0.16210844,1.006582,1.1049993,2.0,0.3782113,1.6465125,0.4848914,0.7181424,1.1850013,0.86890084,0.6601236,-2595.907,Good,Local,14
1.3460326,0.8431418,0.5219194,0.15381399,1.0941958,1.2780621,2.0,0.42068055,1.5876439,0.4696843,0.7289042,1.0889808,0.79994214,0.75190425,-2204.6306,Good,Local,15
