,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,Target,Hypothesis
0,-2.973023056212701,-1.251033811127087,-1.7425307329977877,-2.4970643882145973,-1.7847897234818382,-1.6007907966798924,-1.9088762909834152,-2.3708007856236675,-1.7879379774539819,-2.7067012364507166,-2.6880151374040757,-3.1519772917092785,-3.002548090302379,-2.5991271292774236,-1.9182886443791487,-2.555584103861042,-2.829011723848219,-1.365612901924971,-2.65815839325046,-2.6529042168050627,-123.63147818453761,Weak
1,-7.7302305621270095,9.489661888729131,4.574692670022124,-2.9706438821459713,4.1521027651816205,5.992092033201077,2.9112370901658498,-1.708007856236673,4.120620225460183,-5.067012364507162,-4.880151374040754,-9.519772917092782,-8.025480903023789,-3.9912712927742326,2.817113556208515,-3.5558410386104207,-6.290117238482191,8.343870980750292,-4.5815839325046,-4.529042168050625,-237.2690196544975,Global
2,9.088253647970856,-7.457708578818729,4.945296997587423,-9.895240886021949,7.135812157287305,3.9191240264339573,1.0605140846909737,8.704715948994316,0.25247059487094425,-6.447758688084193,0.7373158492890468,-4.130803640402066,-9.787958941986805,7.676014355844924,3.128212962468922,8.845119452945902,4.898905955399208,-4.65579108479016,-2.7627424434223746,0.5280777114563406,-327.00743933057646,Global
3,0.9376994212270322,-4.826593520327456,-6.5072730549371505,-2.7857948499720964,-7.196354694383633,-2.2184268969667347,-0.5622333170841003,9.376538460495606,-7.088651009331219,0.2850944353101994,0.5530365997913567,-3.89514967842773,-6.806504876998442,1.9382305186177096,-7.925423785621195,1.3593217703779743,-2.2738723842624875,-8.30555904666008,1.2399835421963061,2.9614335710497066,-223.2741702358323,Global
4,3.238678902292797,-6.215143814079225,9.082178908131972,-8.819510874606628,7.604124719553752,5.675163215024936,-4.950451706367833,8.54181045079055,-1.104987999344063,-2.4569733247956886,7.876469588875498,5.081077393463341,5.489160324772582,7.5809702210665435,-0.3703536539955117,-3.941985498365468,-1.1414425351843285,0.5626569647933088,2.162892418111248,0.5048994270430782,-174.52887380643,Global
5,-3.011732696706325,-3.0280238631038365,-2.500399545864836,-1.7065690192751264,-1.2367272098224618,-2.83473521911804,-2.9471011205515936,-3.149992105293519,-3.188165709817584,-2.6059904215408687,-1.62942008176018,-1.3506452480411464,-1.2146099156820398,-1.3528578091626628,-2.9506283683616013,-1.7440167599923386,-2.7739953177031182,-2.7309969547498856,-1.7348811544276508,-1.3003781506894625,-114.42558693111569,Weak
6,-1.588395927399583,-2.1168251850507964,-1.4422264871886257,-1.3049300718379424,-1.5344194145026888,-1.2024127498207093,-2.2143192231147006,-2.400041836620522,-2.859913242717032,-2.478035583539748,-1.4066699431876848,-1.3455411191234676,-2.8094001727670683,-2.049050866402519,-2.690778054174463,-1.6059431853844188,-2.085901786859798,-1.3878069812018374,-2.044171244437329,-2.9351150034192157,-99.65475900321061,Weak
7,-1.9376341002625044,-1.5148550425035117,-2.36588833287389,-1.624275473045674,-2.3018084429795427,-2.142700988767853,-1.9334704310998059,-1.9356908529070316,-1.7950776829478463,-2.1488999309216403,-1.7581946406616575,-2.87101684264677,-1.9273412398573386,-2.806028077732803,-2.4922593846454255,-3.0305389352263905,-1.4214433339120005,-3.067036094713827,-3.1327841976034656,-1.3635134649215048,-118.95205668349386,Weak
8,-1.6336533686032673,-2.294851551499679,-1.641459421426184,-1.2206065480386965,-1.534476999082815,-1.4791479827023708,-2.3342598073777148,-2.487093844675411,-2.930630009677515,-2.4308530606766405,-1.2985529207917827,-1.2512292961517304,-2.4480626299259245,-1.9711258261908897,-2.8048637544360355,-1.6597104772460092,-1.999522864166405,-1.752645727890612,-2.04390821856333,-2.586154658635916,-103.41886861731696,Global
9,-1.6907353010316195,-1.9909359135432136,-1.3663001549333018,-1.4687314519869759,-1.5431154420062323,-1.0814304331946816,-2.1317989731541442,-2.3120069056112404,-2.7879847446568866,-2.528940990401599,-1.563863214730248,-1.5243582779816653,-3.0558522379073016,-2.0724172759250843,-2.592766145784838,-1.5899803614374564,-2.2412883546365214,-1.1808199165510227,-2.035862558029268,-3.0942030211013574,-99.98400006685691,Global
