,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.0,1.0,0.0,0.25,0.75,3.8000000000000003,0.0,0.0,0.25,0.5,11.140533474317735,Dye-sceptic
1,0.75,0.5,0.75,0.5,0.0,1.4,0.0,1.5,0.0,0.0,0.023533638694038236,Dye-advocate
2,3.0,0.25,0.25,0.0,0.25,3.8000000000000003,0.0,0.0,0.0,0.25,0.0022067939122300557,AR87-advocate
3,0.25,1.0,0.75,0.25,0.75,3.8000000000000003,0.0,0.0,0.0,0.5,0.06333958499101366,Surfactant-sceptic
4,0.0,4.0,0.0,0.0,0.0,3.8000000000000003,0.0,0.0,0.0,0.0,7.1222051444895484,Scavenger-Obsessive
5,0.0,0.25,0.0,0.0,2.5,1.0,0.0,0.0,0.25,1.0,0.46501111939561934,pH-Obsessive
6,0.0,0.25,0.0,0.0,0.25,3.8000000000000003,0.0,0.0,0.0,3.5,7.527085745870231,H-bonding Obsessive
7,0.25,0.0,0.0,0.5,1.75,3.6,0.0,0.0,0.0,1.25,0.572972400326966,Halophile
8,0.25,1.0,0.75,0.0,0.75,3.8000000000000003,0.0,0.0,0.25,0.5,0.052545693386534184,Halophobe
9,0.25,1.0,0.75,0.25,0.75,3.8000000000000003,0.0,0.0,0.25,0.5,0.05595652041646981,Global
10,0.0,0.0,0.0,0.25,0.75,3.8000000000000003,0.0,0.0,0.0,0.0,2.5858311462485566,Dye-sceptic
11,0.0,0.0,0.0,0.5,0.0,4.6,0.0,0.0,0.0,4.25,4.777354741431747,pH-Obsessive
12,0.0,1.5,0.0,0.0,0.25,2.4000000000000004,0.0,0.0,0.0,0.0,6.714344335921277,Global
13,0.0,0.75,0.0,0.0,0.25,2.8,0.0,0.0,0.0,1.25,11.170743714748294,Global
14,0.0,0.75,0.0,0.0,0.25,2.2,0.0,0.0,0.0,3.5,10.839810757603287,Global
15,0.0,0.75,0.0,0.0,0.25,5.0,0.0,0.0,0.0,0.0,5.4237549837743675,Global
16,0.0,0.75,0.0,0.0,0.5,3.0,0.0,0.0,0.0,3.25,12.601832716396824,Global
17,0.25,0.75,0.0,0.0,0.5,3.0,0.0,0.0,0.0,3.0,5.20406747615332,Global
18,0.0,0.75,0.0,0.0,0.5,3.2,0.0,0.0,0.0,3.25,12.9879067302691,Global
19,0.0,0.75,0.0,0.0,0.25,3.2,0.0,0.0,0.0,3.5,13.625710440067543,Global
20,0.0,0.75,0.0,0.0,0.0,3.2,0.0,0.0,0.0,3.75,12.194056443497729,Global
21,0.0,1.0,0.0,0.0,0.25,3.2,0.0,0.0,0.0,3.5,13.7592996242064,Global
22,0.0,0.75,0.0,0.0,0.25,3.4000000000000004,0.0,0.0,0.0,3.5,13.86764991977579,Global
