,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target,Hypothesis
0,0.0,1.0,0.0,0.25,0.5,3.7,0.0,0.0,0.0,1.5,16.317029422433944,Perfect Hindsight
1,0.25,0.25,0.25,0.25,0.0,1.8,0.0,0.25,0.75,2.25,0.03125443211970464,Global
2,0.0,0.0,0.5,0.0,0.25,1.8,2.0,0.25,0.25,0.5,0.0019367585013291785,Global
3,0.5,0.0,1.0,0.25,0.0,3.0,0.0,1.25,0.75,0.25,0.0001452246892906086,Global
4,1.5,0.0,0.0,0.0,0.5,2.6,0.25,0.0,0.0,1.25,0.009887746581836688,Global
5,0.0,1.0,0.0,0.25,0.5,3.5,0.0,0.0,0.0,1.5,15.940313487630895,Perfect Hindsight
6,0.0,1.0,0.0,0.0,0.5,3.7,0.0,0.0,0.0,1.5,15.229055573991577,Perfect Hindsight
7,0.0,1.0,0.0,0.25,0.5,4.6,0.0,1.25,0.0,0.0,0.014953458910960008,Global
8,0.0,0.0,0.0,0.25,4.25,1.0,0.0,0.0,0.0,0.0,0.031045135391645155,Global
9,0.0,0.0,0.25,0.25,0.25,4.6,0.25,1.0,0.0,1.25,0.010999130360424514,Global
10,0.0,0.0,0.0,0.25,0.0,3.2,0.0,0.0,0.0,1.5,3.8452879940409415,Global
11,0.0,1.0,0.0,0.25,0.0,4.4,0.0,0.0,0.0,1.25,9.767182797131355,Global
12,0.0,1.0,0.0,0.5,0.5,3.7,0.0,0.0,0.0,1.5,16.7738502331184,Perfect Hindsight
13,0.0,1.25,0.0,0.5,0.75,4.5,0.0,0.0,0.0,0.0,16.817050481404863,Perfect Hindsight
14,0.0,1.5,0.0,0.75,1.75,4.3,0.0,0.0,0.0,0.0,13.051299855814406,Perfect Hindsight
15,0.0,2.5,0.0,0.75,0.5,4.1,0.0,0.0,0.0,0.25,14.004782548865457,Perfect Hindsight
16,0.0,1.5,0.0,0.5,0.75,2.0,0.25,0.0,0.0,1.0,8.142951911825808,Global
17,0.0,1.5,0.0,0.0,0.75,2.8,0.0,0.0,0.0,1.0,12.731423897789346,Global
18,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,0.5,20.05000476209209,Global
19,0.0,1.5,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,0.25,17.654798473770338,Global
20,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,0.75,20.52452223307068,Global
21,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.25,0.0,0.0,0.5,16.41226797509528,Global
22,0.0,1.25,0.75,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,0.75,0.05766188119529642,Global
23,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,1.0,19.755079645892604,Global
24,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.0,1.75,14.859725516009878,Global
25,0.0,1.25,0.0,0.5,0.75,3.8000000000000003,0.0,0.0,0.25,0.5,13.155735917445895,Global
26,0.0,1.0,0.0,0.5,0.5,4.3,0.0,0.0,0.0,0.5,17.43810666874181,Perfect Hindsight
27,0.0,1.0,0.0,0.5,0.75,3.7,0.0,0.0,0.0,0.75,22.407806285062897,Perfect Hindsight
28,0.0,1.0,0.0,0.5,0.75,3.5,0.0,0.0,0.0,0.75,21.928311521562904,Perfect Hindsight
29,0.0,1.0,0.0,0.5,0.75,3.7,0.0,0.0,0.0,0.5,21.564162266407674,Perfect Hindsight
30,0.0,0.75,0.0,0.5,0.75,3.6,0.0,0.0,0.0,0.5,19.61975540715562,Global
31,0.0,1.25,0.0,0.25,1.0,2.0,0.0,0.25,0.25,0.5,1.6267100814098787,Global
32,0.0,0.75,0.0,1.0,0.25,3.8000000000000003,0.25,0.0,0.0,1.25,10.80713858685508,Global
33,0.25,0.75,0.0,0.5,0.75,3.6,0.0,0.0,0.0,0.5,7.259814330424313,Global
34,0.0,0.5,0.0,1.5,0.25,4.6,0.0,0.0,0.25,0.0,6.327239588828183,Global
35,0.0,1.0,0.0,0.75,1.0,3.9,0.0,0.0,0.0,0.75,21.344993565225145,Perfect Hindsight
36,0.0,1.0,0.0,0.75,0.75,3.7,0.0,0.0,0.0,0.75,25.889122298568644,Perfect Hindsight
37,0.0,1.0,0.0,0.75,0.75,3.5,0.0,0.0,0.0,0.5,24.175952583543594,Perfect Hindsight
38,0.0,1.0,0.0,0.75,0.5,3.9,0.0,0.0,0.0,0.5,19.898235295257592,Perfect Hindsight
39,0.0,1.0,0.0,0.75,1.25,3.4000000000000004,0.0,0.0,0.0,0.5,13.828882092992036,Global
40,0.0,1.0,0.0,0.75,0.5,3.6,0.0,0.0,0.0,0.5,19.976669421772485,Global
41,0.0,1.0,0.0,0.75,0.75,3.6,0.0,0.0,0.0,0.5,24.612804506289013,Global
42,0.0,0.0,0.0,0.75,0.75,3.6,0.0,0.0,0.0,0.5,4.888424834592316,Global
43,0.0,0.25,0.25,0.0,0.5,3.0,0.0,0.0,0.0,0.5,1.068945187083977,Global
