,AcidRed871_0gL,L-Cysteine-50gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.5,0.0,0.0,0.25,0.25,4.2,0.25,0.75,0.5,0.5,0.1053491714115581
1,0.0,0.5,1.0,0.25,0.0,2.0,0.0,0.0,0.25,0.0,0.03164515566161882
2,0.5,1.25,0.0,0.75,0.0,4.800000000000001,0.25,0.0,1.0,0.25,0.32906897693588755
3,0.0,0.25,0.0,1.25,0.0,3.0,1.0,0.0,0.25,0.5,1.7744821813724387
4,0.0,0.0,0.0,0.0,0.0,2.8,1.25,1.0,0.5,0.5,0.015592977996578905
5,0.5,0.0,0.75,0.25,0.25,2.2,0.25,0.25,0.75,0.0,0.021600642341896868
6,0.25,0.25,0.0,0.25,2.0,1.0,0.0,0.25,0.0,0.5,0.17260266577183608
7,0.0,0.5,0.0,0.25,1.25,3.0,0.25,1.0,0.0,0.0,0.03327399641010102
8,1.0,0.25,0.5,0.0,0.5,1.0,0.25,0.75,0.0,0.5,0.0041612371661611455
9,0.25,0.5,1.0,0.25,1.25,4.0,0.0,0.5,0.25,0.0,0.008164018861798225
10,0.0,0.75,0.5,1.0,0.25,4.0,0.5,0.0,0.0,0.5,0.37450553468984693
11,0.75,0.0,0.25,0.75,1.0,3.0,0.25,0.5,0.0,0.5,0.025468616427766096
12,0.0,0.0,0.0,0.75,0.5,3.8000000000000003,0.75,1.5,0.25,0.25,0.0010869880849748508
13,0.0,0.25,1.5,0.5,0.0,3.4000000000000004,0.25,0.0,0.75,0.25,0.0014128273748524208
14,0.0,0.75,1.0,0.0,0.0,1.6,0.5,0.75,0.0,0.75,0.004549858971532694
15,0.0,0.0,0.0,1.5,0.0,4.800000000000001,0.25,0.75,1.0,0.25,0.05631667994187418
16,0.75,0.0,0.25,0.25,0.75,1.0,0.0,0.25,1.75,0.0,0.01245276786378992
