,x0,x1,x2,x3,x4,x5,x6,x7,x8,Target,Hypothesis
0,-8.532851692228599,-7.549850815702523,-7.562053413731707,-8.285940942081446,-8.269377829090923,-8.116482648747843,-7.7165836389790945,-8.057397663172882,-8.3854806976693,-17.9696053374192,Weak
1,-0.9792516922286001,0.0037491842974775036,-0.008453413731707826,-0.7323409420814468,-0.7157778290909229,-0.5628826487478436,-0.16298363897909507,-0.5037976631728818,-0.8318806976692998,-3.783163241382827,Good
2,-32.08811945094677,0.1228532710597463,-0.27700146116060154,-23.99734799012485,-23.454607903651365,-18.444538634169337,-5.340647882066989,-16.50844182684899,-27.259066701227617,-21.45417189944917,Global
3,-10.125401125656978,-21.838145353657783,24.809248229468345,29.554378776688495,-30.22858644145309,13.048702002709199,4.768387273156804,26.0837945000034,10.937891089261306,-20.920017993308733,Global
4,3.135096949734219,13.266283663724067,-7.43983221213329,12.742733185971531,21.290710761507924,-2.2499507983308646,28.87020770273893,19.90588956752726,31.677431691629863,-21.18201003961664,Global
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
6,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-6.5536,-6.5946322388594165,-6.5536,-16.936532480695597,Weak
7,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
8,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
9,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
10,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
11,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
12,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
13,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
14,-0.6974202484502832,-0.2231900814987946,-0.8468688023024011,0.23887623327556629,0.09082163736434445,0.807266214376573,0.979663503594346,0.2195069139369228,0.9046911271867137,-3.6483771550681188,Good
15,0.27285307497052536,-0.32529772721490274,-0.2126326217430305,1.0,0.9964737698661956,0.9999999945065655,1.0,0.8280735106721108,1.0,-3.9459692456699185,Good
16,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,-3.6253849384403627,Good
17,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-3.6253849384403627,Good
18,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
19,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-3.6253849384403627,Good
20,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-3.6253849384403627,Good
21,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
22,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
23,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
24,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
25,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
27,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
28,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
29,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
30,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-3.6253849384403627,Good
31,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
32,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-3.6253849384403627,Good
33,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
34,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-3.6253849384403627,Good
35,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
36,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
37,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
38,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
39,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
40,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-3.6253849384403627,Good
41,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-3.6253849384403627,Good
42,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-3.6253849384403627,Good
43,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
44,1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
45,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
46,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
47,-1.0,-1.0,-1.0,0.07062993311286485,-1.0,1.0,-1.0,-1.0,1.0,-3.4670867331057704,Good
48,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-3.6253849384403627,Good
49,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
50,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-3.6253849384403627,Good
51,7.122338473858058,1.9974671664567472,7.012411047336149,2.156085158479555,1.5677141773329537,1.2075525695770235,1.1808314800341007,2.29042001804467,1.2758574008564982,-11.764317386590932,Global
52,1.556184058080903,-7.518364172281753,-2.634067265345409,0.35020127924588407,0.8807110848858365,0.5330267305224236,1.008194609785475,0.2759001730720112,0.20669124003327588,-10.413714002416874,Global
53,-7.454722812974673,8.368679841947731,-12.945241129145579,9.264901784462609,2.0345097239624437,-1.371641463950727,0.7163917973290523,12.867980239190395,-14.491946462210123,-18.648653662241603,Global
54,-16.26886036415518,-3.8299676928457345,8.718060045885458,-3.03710508464442,3.347706390866392,19.323287164696787,-0.31313548084557397,-7.710713483955793,9.865086491947814,-19.01313209838535,Global
55,1.4304760342892535,1.040549844285026,-2.799718034141272,-0.5645701519760383,1.1908412236558115,-0.5523125622433939,1.028555909887877,3.531613534130151,-1.9861220284682624,-7.8917975284466895,Global
56,-7.686613721884598,26.544354764929373,5.007443002072883,9.676022560746304,13.669686982309216,-24.19986470762991,10.196168977913636,-26.562526448106844,5.539189169964196,-21.24786016070043,Global
57,-16.280534016126783,1.187121444055279,4.667700479825392,4.347494731848272,3.8895694314826343,-29.939837812579775,10.105528876649998,9.399455196127,12.998985697357291,-20.080989398954628,Global
58,0.12714816656976963,-0.2287794966153766,0.1719042612612303,-0.24066441306643133,-0.867353110758806,3.6232582049820135,-0.21944488615483038,0.20975871132779064,-0.9039775540759257,-5.929898442437594,Global
59,1.5339355931980143,-0.25480346687932187,-0.028546756323998917,0.10679005027872997,0.137325160129409,0.07231085159806758,0.11948428394577523,0.11156225700189479,-0.024362676965006512,-3.0090023900200866,Global
60,-3.66127387210307,25.965366104281323,-17.562724178779497,-4.813779482412492,-12.013751603613848,10.139784375599191,-16.77209221813888,5.556186292345451,20.767963156664457,-20.610829741593296,Global
61,-10.982898334915845,12.907986050290148,6.858991296251531,26.421831150157658,-30.095845419740378,5.511816626298362,13.57495403484483,-6.681104335057245,3.18125830889894,-20.786796551780657,Global
62,0.015544507265438767,1.8556705701647473,-7.5129563846007805,7.673503309916477,-5.807594795602665,-6.407826978513032,1.6972186435702241,-9.387480059138156,3.4156339703147793,-15.592933664485695,Global
63,-3.685121634272285,-2.0303218448655542,9.107511872151,5.802690539544663,-19.835317766994727,5.393624797042989,-0.8049064596697875,1.6474589034248055,3.1533926200552145,-17.436127997911388,Global
