,x0,x1,x2,x3,x4,x5,x6,x7,x8,Target,Hypothesis
0,-0.42789235667896874,0.9162111330380001,0.540625864437756,0.9737400061849257,-0.5836690761905576,-0.7261659023123437,0.8167476045798003,-0.8627229640457594,-0.8493345553206857,-4.484464293583763,Good
1,-14.021176743656447,30.022406407389184,17.71522832589639,31.907512522667645,-19.125668288612193,-23.79500428697088,26.763185506870897,-28.269706085851446,-27.83099470874823,-21.020289919995772,Global
2,2.8530894102405284,-26.909100178271895,-7.707474819395532,11.046776974941793,-4.641978937387037,-29.88727943257107,-20.035273441344188,-3.4957240583604943,-28.66719764630664,-21.004528282196606,Global
3,-13.266630605853912,29.073794656994266,-14.23369333892072,-15.224435733112841,-6.080495345048732,21.364107047925465,0.4391346629593187,-15.10766142777496,-10.473420395695737,-20.87822581866592,Global
4,31.094987259253408,-20.689415102767985,-16.890450894813995,12.481941582645007,-7.606417724919453,-2.5269074070042485,11.483544750951864,-27.149559145920822,-17.431485003476467,-21.493067488781413,Global
5,1.0,-1.0,-0.897577237116401,-0.761583469455007,1.0,1.0,-0.601429386961403,-0.11514796638162877,1.0,-3.9924275458983307,Good
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
7,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
8,-1.0,1.0,0.9999999999999998,-1.0,1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
9,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
10,-0.9999999999999998,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
11,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-3.6253849384403627,Good
12,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
13,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
14,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
15,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.9999999999999999,-3.6253849384403627,Good
16,-1.0,1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
17,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
18,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
19,1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
20,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
21,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
22,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
23,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
24,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
25,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
26,0.8329533600594736,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.7165868111184435,Good
27,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
28,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
29,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
30,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
31,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
32,1.0,1.0,0.9999999998067948,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-3.6253849383700616,Good
33,-1.0,-0.9999999968641873,0.04376230589379354,-0.9329566466379153,-1.0,1.0,-1.0,1.0,1.0,-3.4494610957374694,Good
34,-0.48708381659118993,-0.5904464115397532,-0.2032460037027206,-0.0028372713461228827,-0.3125741256179213,-0.14262686211632536,-0.94546437183668,0.8528528408994627,0.8103761915228218,-3.711955409267866,Good
35,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
36,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
37,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
38,-0.5345633814280332,0.5922620251887464,0.12683039058393017,1.1204114213158198,-0.6144617962877909,-1.2334003638815725,-3.0832925231872257,10.179963091295727,-0.30701181387816256,-12.005577023951037,Global
39,0.22560094435541359,0.8679315145868906,0.24561470734035196,1.3213317527160475,0.8745317242661519,-1.0568722214600335,-5.575220322313533,-1.2303686321446927,-0.6115713588306392,-8.358412973461482,Global
40,-0.8789169014530662,-3.0534544376903563,0.6449377537834375,-0.9103941398524146,-4.40562841163601,0.5163592362413675,-0.07249106402164651,1.3889613516738013,1.6196880024892992,-8.336411116136114,Global
41,0.39354900787268576,3.791351326576674,0.6517826620770748,-6.4303349706805975,-1.4187947707132125,-11.735992259691585,27.845559080315816,6.546508629159767,1.8926231527061361,-19.583827125478177,Global
42,-13.219923609435334,3.4903604308384217,16.34003279829635,-0.07701017946957478,8.661793678032254,11.82733686007468,3.4573283252599154,-8.834730119087283,10.905173990293171,-18.959988904818907,Global
43,2.928510442470781,10.166726366851762,-11.907385960899099,10.201506189549669,23.818488765863712,0.21884320210825337,7.49889445734204,8.792137882361473,3.5824450734558724,-19.275924824940464,Global
44,5.983838203733725,1.227399882082608,-7.178398988344451,-21.67530692096603,7.831109702602056,5.146926863262834,8.199361570887838,5.764011275300611,-9.305428956356671,-18.513125257950023,Global
45,-13.550446179355575,-3.3946662302833346,-5.630806913572595,-2.7159551334326686,-0.6667706829746365,-1.6590828619882743,-7.426930663623956,-8.572504574680469,7.8773974054469065,-17.093723870421957,Global
46,7.120840553135743,28.648547554812374,6.719756317796488,-5.2684451983336125,3.1905625089872274,-10.292761918196788,0.5631831404085403,4.86120295210489,-3.988289857339236,-19.453276773998784,Global
47,-12.294150924820414,0.9426149366400196,5.816925993341748,18.996789002175788,10.23932591996929,7.127576358634819,-5.781442921458289,-1.716478860132895,-5.601969497605399,-18.322519452505237,Global
48,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
49,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-3.6253849384403627,Good
50,-0.1711578776912848,-1.0,-0.23774221869415446,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6560259397122477,Good
51,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
52,4.807679624248465,-9.687463313197302,-3.4851466715271684,1.0704819905871972,8.4166757112583,3.340579735238279,12.399804547140512,10.262654979987992,25.472865097399065,-19.884999711647676,Global
53,-8.005052008891084,19.367900416297317,-10.551770401311202,11.785938172774053,-11.451724571936087,-0.08852277857275226,-0.02565042719575672,-3.74736219486239,-8.985015979683595,-18.88083955420043,Global
54,3.813272848855533,-4.867448749173942,-9.5751752966036,-2.9849372211544676,-6.42057147692195,24.044563015501282,2.319229959194182,-14.618341433419353,-4.245244085222652,-19.263541540031927,Global
55,0.12132260250816373,0.467838193663623,0.07505572856741644,0.1985045273163406,0.2846656574754431,-2.0522623140618286e-05,0.5822758190047336,2.4499408078285607,-0.3844141148160726,-5.008449724643267,Global
56,14.35390810057089,-14.366574192108835,11.44211741957804,-3.2611434482161705,6.276312803479755,3.9989117786857804,-7.188777349243523,-18.449663485980516,6.853537589842922,-19.554051417620773,Global
57,-7.3930886810565575,5.877637951249888,11.841275020096383,-14.171336300456066,-11.962839317578037,-11.748279534092944,-1.3244190459181837,1.8191129202621426,0.3336048129509308,-18.19471897463096,Global
58,0.2389315311169832,-0.17032349570909605,-2.9112381936990004,0.3804391624613504,-0.3139175806983532,0.08618924748856024,0.0200425369286079,0.277175257144328,0.06289089749059418,-4.947332196787688,Global
59,-4.965560889729655,4.121312503642642,2.668583272003076,11.602895226276168,-7.100202996143992,-19.529668348380717,0.13877497755398593,-9.341290760859817,3.7380613117008394,-18.33079357634542,Global
60,18.483251138286647,-4.969412944181357,-17.069281826843515,20.65677039241637,-3.15624466494895,8.216266589512479,5.084731697226708,6.384732661967348,-3.283035463884648,-19.685722613569236,Global
61,7.2929986186341225,-6.174761037636948,-15.965558089577012,-0.37350068035361517,-9.053156664533933,-2.1004783408663563,6.713274965948727,0.4759338810202536,9.73972695514778,-17.553343594792725,Global
62,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
63,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
64,1.0,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0,-3.6253849384403627,Good
65,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-3.6253849384403627,Good
66,14.651056717491784,3.249013151860389,1.791821327956015,8.078734709475945,1.9072951859790024,-8.400052184437222,-1.124015111804482,5.613866947119689,15.25054652251687,-17.919758661928615,Global
67,3.9081713509148983,-16.28889182684372,14.221664107307532,11.059627692108009,3.995752805533165,0.6089153100802918,16.66485914655705,9.704781404751543,-15.275662664185212,-19.667284036016294,Global
68,-28.55001961518626,-27.95492708896278,-28.837158438280817,-30.019219916856898,30.897374652017028,-26.71232714649006,32.35743832022068,-23.37934468095997,-13.39819302403134,-21.642680952767986,Global
69,32.45170930885838,25.929611395379922,-29.752812372193176,-28.64224526578775,10.467042142077652,-13.477506250446822,-26.342785274697096,-31.215758941854883,18.17286852024747,-21.831587157564,Global
70,19.516498705265803,-30.489534043444838,26.63617302134083,30.36269818366093,-30.41329604760808,29.955671344365967,-26.941379944094408,-23.466217429047123,-24.249384273602985,-21.932220586608548,Global
71,-7.509315324998692,-14.333821508289905,-2.917839407054,-5.141060763121793,11.278135262374754,21.52960342957138,-0.008285357732574994,9.948736191857925,-1.1747360142084453,-19.10939288484002,Global
72,1.4609222162291076,-9.892735502600829,-1.401473475223895,-12.004601073011347,-8.029629930492149,-0.3918464432033133,1.3294281880973315,-2.60852180451694,-4.8087732361216275,-15.96753254106356,Global
73,4.8967784242268735,-17.80625569533348,0.7887272174395008,4.408558182893373,0.7031097482340414,0.4400075556177043,-2.6602624538831314,2.8675430427498227,5.016519374531285,-16.41387480653918,Global
74,9.637391132250073,4.152399023203365,1.916584598639652,-16.677074424386817,13.736155639689748,-14.597514975191757,-2.40204776264164,-11.668730843283207,-0.10063734533051871,-19.22620408171118,Global
75,-0.851792101501338,-0.16424635019267245,0.21730254104571955,-0.2577702074571274,0.0675874426817306,2.444306583448397,-0.13444966244960896,0.20783626602534835,0.1422329732217819,-4.573553186286354,Global
76,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
77,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
78,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
79,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
80,-25.687862740444466,25.6179336536945,32.31980258648886,20.768464159430117,-18.43535872723313,-28.41931162317005,-31.624192292165418,25.080837246200808,-31.63838578811894,-21.96552630854233,Global
81,7.568445221725597,12.18478054728643,12.740510585025255,0.9370426858901695,-14.06365711290032,9.487342036229876,6.083876321628871,-9.802633052530801,-7.101525579706941,-18.535812318634576,Global
82,24.503094590692477,-31.35438304917915,31.312788796827164,-24.381702865496504,-28.60366871026421,29.19302728186853,16.44413999894723,-32.37961041618639,-29.250708532440033,-22.059098423758623,Global
83,4.344384160618667,-4.095925304315177,-7.63998456046793,3.074504159512607,-6.835646077588745,1.635227327670016,1.6106235554047714,8.79250449314791,-16.156305742500525,-17.123930677286616,Global
84,-3.71177591323141,3.783050419688003,-22.154104067122802,-5.5220905288220195,2.2550571458054307,-0.40560746181824925,-11.742870233813424,5.651900932027495,-4.072377601462712,-18.570172754744846,Global
85,30.580361427964867,31.068548754861958,30.65014021480414,26.016855559964853,29.922533958770302,14.887053471234324,-26.61312949247837,-32.06968402390364,-21.260800623582792,-21.365369342916985,Global
86,2.3100618976608063,0.038069361882965114,0.17628403543969867,-0.1939128688498961,0.09508819685539725,-0.47976848959224144,0.14633087048660168,0.15774223363831824,0.0015576958386366406,-4.202846383859612,Global
87,-19.220076145081364,11.852709879882461,1.4238602322839213,-8.041718228798402,14.771724186787743,-0.3119161988445427,-6.9256255392527315,10.837087751390257,-2.8838576019287423,-18.84459203633355,Global
88,1.1733629149409666,-31.265254697206963,25.284697322448004,-28.51083840958892,22.01530240354751,-32.48282421775062,-24.565067818067625,28.017398548107565,-20.63654585004653,-21.73895425954801,Global
89,30.311130782815027,31.339426787271336,-22.0007076361356,-27.700888560129563,2.944370516744108,28.403387930310657,-27.368679670767307,32.49799987252251,24.294861677864674,-21.823887177030365,Global
90,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
91,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-3.6253849384403627,Good
92,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-3.6253849384403627,Good
93,-1.0,-1.0,0.09042373562548109,-1.0,1.0,1.0,1.0,1.0,-1.0,-3.4856471094860138,Good
94,15.799947672222125,-25.69935417366091,32.30578781025879,-30.16972722305957,-29.572473206282922,30.91814243938738,-31.604629643360443,28.400456958468773,12.069620203010118,-21.694297428791874,Global
95,28.731005107404776,18.721316015899376,-18.55973011207227,26.03501105345071,29.88838717664693,31.813732908289637,31.69710601185774,-27.720897000367565,-27.36426432779211,-21.659320910466402,Global
96,-0.5129148165352898,-0.06471640994341843,0.1508128014949182,-2.7257123363160747,0.11849672707798495,-0.21091536211038397,0.20254858337074486,0.5625058779182567,0.05156132381357865,-4.980940721192017,Global
97,-0.0664766016736924,0.633507305946095,0.25100903295316995,0.016086892133919343,2.59918585269213,-0.21470678017594433,0.18429312095828101,0.40199733119487147,0.18324511866519996,-4.982806013878708,Global
98,-26.844694738630235,-25.956695801558354,30.641362545486324,30.663763516995438,-23.50544678079335,18.48688105805214,-25.69779523842573,16.245050993593132,30.070855855593656,-21.709617748163332,Global
99,-32.24174426314289,-32.64565878090757,-26.748073064563105,-28.893066177624103,-30.189609940321564,-29.429536749621832,12.821104321033339,17.65307552668665,31.998896103462968,-21.578823651798754,Global
100,-2.8547835935329644,5.474721633002353,-4.725574683694759,-6.320376028298291,-8.631924564854103,3.19477407806081,11.549645454052921,3.9373941597730706,10.510499553027174,-17.040552179433956,Global
101,10.168176969765447,-10.471806149787625,1.6989493487984433,1.3451636456355232,-3.3792893397926456,-4.535343620770401,11.694103416310874,3.20812078323371,-4.317955825864338,-16.9063457641315,Global
102,-0.21399419747245793,-2.538528368721852,-0.24860137204728652,-0.007324307296777817,-0.07368517113058386,-0.03191351152370883,0.556394889272207,0.9032201388454767,-0.7063872663826177,-4.976312157788993,Global
103,4.437017792322287,8.747258161927128,-2.748486387631477,-3.5564981456967644,5.116208751777556,-5.22236127861261,-12.293870995736565,-7.022901535399512,-21.674922040303347,-18.897500869138945,Global
104,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-3.6253849384403627,Good
