,No Hypothesis
0,3378174.259625988
1,2092982.185987644
2,1607610.1452468787
3,1607610.1452468787
4,1607610.1452468787
5,1607610.1452468787
6,684481.3376051513
7,684481.3376051513
8,684481.3376051513
9,684481.3376051513
10,684481.3376051513
11,684481.3376051513
12,684481.3376051513
13,684481.3376051513
14,684481.3376051513
15,684481.3376051513
16,684481.3376051513
17,684481.3376051513
18,684481.3376051513
19,684481.3376051513
20,684481.3376051513
21,684481.3376051513
22,684481.3376051513
23,684481.3376051513
24,684481.3376051513
25,684481.3376051513
26,684481.3376051513
27,684481.3376051513
28,684481.3376051513
29,684481.3376051513
30,684481.3376051513
31,624601.2875860335
32,624601.2875860335
33,624601.2875860335
34,337394.43916806474
35,337394.43916806474
36,337394.43916806474
37,337394.43916806474
38,337394.43916806474
39,337394.43916806474
40,337394.43916806474
41,337394.43916806474
42,233975.71664551325
43,233975.71664551325
44,202157.19136948
45,202157.19136948
46,192403.0125019432
47,165371.79272813423
48,67464.54570758405
49,67464.54570758405
50,67464.54570758405
51,67464.54570758405
52,67464.54570758405
53,67464.54570758405
54,67464.54570758405
55,67464.54570758405
56,67464.54570758405
57,67464.54570758405
58,67464.54570758405
59,67464.54570758405
60,67464.54570758405
61,67464.54570758405
62,67464.54570758405
63,67464.54570758405
64,67464.54570758405
65,67464.54570758405
66,67464.54570758405
67,67464.54570758405
68,66362.96195414632
69,66362.96195414632
70,66362.96195414632
71,66362.96195414632
72,66362.96195414632
73,66362.96195414632
74,66362.96195414632
75,66362.96195414632
76,66362.96195414632
77,66362.96195414632
78,66362.96195414632
79,66362.96195414632
80,66362.96195414632
81,66362.96195414632
82,66362.96195414632
83,50331.8402128716
84,50331.8402128716
85,50331.8402128716
86,50331.8402128716
87,50331.8402128716
88,50331.8402128716
89,50331.8402128716
90,50331.8402128716
91,50331.8402128716
92,50331.8402128716
93,50331.8402128716
94,50331.8402128716
95,50331.8402128716
96,50331.8402128716
97,42827.78841536297
98,42827.78841536297
99,42827.78841536297
100,42827.78841536297
101,42827.78841536297
102,42827.78841536297
103,42827.78841536297
104,42827.78841536297
